B-AD,"This episode is brought to you by business schooled , a podcast by Synchrony Back for its second season ."
O,"This feels I feel like every time I just feel like you don't realize it , but you're setting me up ."
O,I don't I don't think I ever study of all the times .
O,I think sometimes there's any .
O,I don't think that's fair .
O,I know that that's the thing that's so frustrating about it is my answer .
O,"This honestly , it's going to be hard for you to resist like making fun of me ."
O,"Well , let's try ."
O,All right .
O,OK .
O,It doesn't make like an album of synthesizer music .
O,It's it's on that track .
O,OK .
O,I really want to be able to automate several parameters on many synthesizers simultaneously from one central digital audio workstation so that I can make them all all play autonomously .
O,And I can edit the parameters so that the filter moves that have a specific time or like the decay changes if you steal your resolution from a robot midi .
O,CSC is really difficult and I'm trying to learn it .
O,"If it makes you happy , I support you ."
O,"See , I knew it ."
O,"Like I said , if it makes you happy for you ."
O,"You said that after you thought about it , but it is that is the thing I'm focused on learning this year ."
O,If it makes you happier .
O,"Honestly , I feel like you have a better chance learning this obscure nerdy thing that I do it change my personality even one degree ."
O,"So probably next year , well , we can open a show with some weird synthesizer music and I'll still be feuding non-confrontational with the world ."
O,Fair enough .
O,"And it's not that it's not that obscure , huh ?"
O,All right .
O,"Before we start the show , one bit of housekeeping , because we've heard from people about this ."
O,Yes .
O,We didn't do our year end extravaganza this year .
O,"Pastors and future , past , present , future for anybody who's listening is the end of the year show where we sort of go over updates of episodes that have happened in the past year or several past years ."
O,And I didn't realize how beloved it was until we didn't do it .
O,Me neither .
O,"And as we've said in the past , we don't do it on years that are the beginning of a new decade , but we do it every other year ."
O,This is very convenient lie you've just made .
O,"Now , we just got busy with the big end of your series , but we're gonna do it again next year and in the next few months ."
O,There are some stories that we've reported that have had really interesting developments in them .
O,So we're gonna do some updates even though it won't be in one big end of year extravaganza .
O,"We will be looking back a little bit , but we've learned our lesson ."
O,We'll do it at the end of the year .
O,We're sorry for disappointing you .
O,OK .
O,Enjoy the show .
O,Enjoy the show .
O,From gimlets is Raphael APJ vote .
O,And I'm Alex Cohen .
O,"Alex Blumberg , yes , welcome to the studio ."
O,Thank you .
O,Hi .
O,Welcome once again to yes .
O,Yes .
O,No .
O,"The segment on the show where our boss , Alex Bloomberg comes to us with something he doesn't understand from the Internet ."
O,We do our best to explain it to him .
O,And sometimes we succeed .
O,Sometimes we don't .
O,"Man , that was the best one you've ever done ."
O,"Yeah , that was a concise I find no fault in that explanation ."
O,That was amazing .
O,"Thanks , guys ."
O,Five years in .
O,You can't just let it be .
O,All right .
O,"So , yeah ."
O,"So I am after five years of doing this with you guys , I now understand the Internet perfectly ."
O,So I no longer have any questions .
O,"But sometimes what I do is I send out a tweet to my legions and legions and legions of followers , confused followers and confused followers ."
O,"And I ask them , hey , can I help you with with some answers to some of your questions ?"
O,And people respond by sending me and sending me tweets that are confusing .
O,Can we just burst this fiction right now that you understand what's going on on the Internet ?
O,Yes .
O,Okay .
O,Thank you .
O,I don't understand what's going on the Internet .
O,Still less now than in the beginning somehow .
O,"You know , I feel like there there was like I it's there's like a steady increase in your understanding of things ."
O,"And then in it like crested and then dropped off really sharply because you like I don't know , because life got in the way ."
O,We really .
O,Yeah .
O,I feel like he started understanding stuff more for a minute .
O,Yeah .
O,And then it went away .
O,I feel like you're talking about Alex Womersley .
O,He's a child in a development toal phase or something .
O,He wasn't a developmental phase .
O,"I mean , I think starting the Internet , you know , like I was for for you know , you got really smart there for a minute ."
O,Now he's he's up worse off than when he started the .
O,OK .
O,So here's the tweet .
O,Yeah .
O,You ready ?
O,Yeah .
O,All right .
O,It's from Twitter user Dave Jorgensen verified .
O,And it says the teen Vogue article is going to come back as Troy Becker .
O,And this one is really good .
O,I was do you understand this sweet ?
O,I'm at exactly 50 percent comprehension .
O,"Alex , where do you understand this tweet ?"
O,No .
O,"PJ Vogt , you understand this tweet ?"
O,Yes .
O,So we're at .
O,"Yes , 50 percent now ."
O,Yes .
O,Now .
O,"So this is one of the ones that I sort of like where like I understand every word individually , but together they make no sense ."
O,"Well , I don't actually understand every word ."
O,I understand almost all the words except for the words .
O,Troy Becker .
O,Okay .
O,That is .
O,"And I assumed that was a football player for some reason I was like , that sounds like a sound like it does ."
O,Sounds like .
O,It sounds like a sports man of some kind .
O,It sounds like a quarterback or it sounds like like a weird code for Tribeca or or the kid who beat you up in high school .
O,"Yes , it does ."
O,Only the kid who beat me up in high school .
O,Yeah .
O,His name is Phil Zandy .
O,Zandy Crab .
O,Zandy Crab was your bully .
O,Yeah .
O,"Well , Zahedi Crab was somebody else's bully ."
O,Yeah .
O,"Then that's how they were up the food chain , really bullied by a nerd who got bullied by slightly more cool nerds ."
O,So that was I was like standing up to this guy who would be messing with me .
O,"And I was like I was like , finally say our resolve ."
O,And then a much cooler kid was there and he just pull up .
O,"A jury was like , nerd fight ."
O,"Oh , that's so ."
O,"Oh , I mean , I had it's like you can't even be like even when you're standing up for yourself , when you're taking a stand , you're you're immediately de-legitimise by some third party spectator ."
O,"Oh , that's awful ."
O,All right .
O,The tweet .
O,The tweet .
O,Okay .
O,"So , Goldman , I'm ."
O,What .
O,What is your .
O,Where did where's your 50 percent in the street ?
O,My 50 percent is the Teen Teen Vogue article .
O,Okay .
O,Let's start there .
O,"Alex Woolery , are you familiar with , like , you know , the whole thing that happened to Teen Vogue in the past couple years ?"
O,I interviewed for this other podcast that I that I host called Without Fail .
O,I interviewed Alain Well-trod .
O,"Oh , cool ."
O,Who is the editor of Teen Vogue ?
O,"And sort of like oversaw , it's sort of like somewhat surprising to many people transition from like , you know , beauty tips and secrets for teens to sort of like cogent political analysis of our current moment ."
O,I didn't know you interviewed her .
O,That's right .
O,Yeah .
O,"I was like that was like the big sort of like post Trump thing was like , yeah ."
O,Teen Vogue became sort of like politically progressive in vogue .
O,I think a lot of people first .
O,Right .
O,This is sort of funny .
O,Then I got you're gonna do a good job .
O,All right .
O,"Welcome , Teen Vogue ."
O,Did like thoughtful progressive Internet .
O,Right .
O,And then the magazine version got shut down .
O,"And they just became a Web site and it became obvious , you know that ."
O,Yeah .
O,"So this week , Teen Vogue posted an article that had a title like These Women Are Securing Facebook for the 2020 Election ."
O,How Facebook is helping ensure the integrity of the 2020 election .
O,How Facebook is helping ensure the integrity of the 2020 election .
O,Subhead With the company's huge platform comes huge responsibility and everybody read it .
O,"An immediate was immediately was like , this is very fishy ."
O,This is very puff p.c .
O,It feels like sponsored content .
O,It does .
O,And it sounds like a press release .
O,It felt like a press release .
O,"It was like a glowing profile , like five women who work at Facebook ."
O,"It was just like , you know , in an environment where most people at this point don't feel good about Facebook , particularly when it comes like safeguarding elections ."
O,"It was just article culture , just like Facebook ."
O,They're doing a great job .
O,Everybody knows that .
O,Let's talk to them about what a great job they're doing and the great people who are doing a great job there .
O,Who would ever feel a different way ?
O,What else would you say in an article like this ?
O,"And was there any reference to the fact that , like , Facebook was implicated in a lot of like sort of like trolling and Russian botting and like sort of like problems in 2016 , any of that stuff ?"
O,No .
O,It was like the article that Facebook would have written about itself in a world where people had access to no other news sources .
O,And it also came and had 90 day memories .
O,Yes .
O,Yes .
O,And it also came in a week when a memo was leaked that was written by someone who is pretty high up at Facebook .
O,What is his name ?
O,Boss cosworth .
O,Yeah .
O,Bosworth .
O,His name is .
O,So when he's the one name .
O,Eiswert .
O,Andrew Bosworth .
O,Yeah .
O,Just what I wanted to just be like .
O,"Yeah , like Haseler ."
O,That's my Facebook .
O,I'm above probably the burner .
O,"So Andrew Bosworth wrote a memo that was meant to be internal and and got leaked it like just it was very mealy mouthed , but essentially said like , we're not we're not going to change anything really ."
O,We're not going to disallow politicians from lying on our platform .
O,We're not going to stop accepting political ads .
O,And like the really sort of spectacular admission he made in the memo was like he said .
O,Do I think that Donald Trump won his election because of Facebook ads ?
O,"Yes , I do ."
O,"Well , but not because he , like , cheated , not because of Cambridge Analytica , but like , yes , I think he won because he ran an incredible ad campaign on Facebook ."
O,"Oh , so not because he was lying , but because he was ."
O,It was just like I think the lying probably helped .
O,Right .
O,"But like what Bosworth is saying is that , like , he was like they ran an incredible ad campaign ."
O,We're not going to do anything about politicians lying on our platform like .
O,Right .
O,We're not gonna do the thing that they do on the airwaves and they do everywhere else .
O,"Like where , you know , which is like you have to you can say things ."
O,We have to say the truth .
O,Right .
O,Got it .
O,"So it felt weird , like one day after that happened for this article to come out about like how great they are at securing the election ."
O,Okay .
O,And so it went up .
O,It went up immediately .
O,A lot of people were like this was a sponsored content isn't labeled as sponsor content .
O,It looks like an ad .
O,But you guys are acting like it's an article .
O,What's going on ?
O,"Also , the article didn't have a byline like there's no author attached to it ."
O,So what happened was it goes up Sheryl's Amberg from Facebook .
O,She posts about it .
O,"She's like , what a lovely article that was written about us ."
O,It's in Vogue .
O,I'm so happy with it .
O,"This New York Times reporter asked Facebook , like , what is the deal with this ?"
O,"And Facebook says something like , you know , this isn't sponsor content ."
O,It's a great article that happened here in about us .
O,The problem with Teen Vogue had already put up a thing saying that this was actually sponsored .
O,"Yeah , they like slapped a sponsored content tag on the article ."
O,Then how long after the article went up ?
O,Maybe a few hours .
O,Yeah .
O,O'Connors .
O,Then they took it off .
O,"Then I think they added a byline and took the byline off and the bylined person was like , I didn't write this ."
O,We you're talking about it .
O,My God .
O,"And then finally by the end of the day , like the article , they just took the article down ."
O,It was deleted .
O,Wow .
O,And so crazy .
O,"Oh , the other thing that happened was great is somebody tweeted at Teen Vogue was like , guys , what is this ?"
O,"And the Teen Vogue Twitter account tweeted back in this Twitter user , I say literally idk literally ."
O,I don't know .
O,I don't know .
O,I don't know what's going on .
O,Wow .
O,"So as the go the teen vogue , the Twitter presence of Teen Vogue was like , what the fuck is happening on Teen Vogue ?"
O,Exactly .
O,"And therefore , her editors were like whatever like advertising is done to editorial , like is messed up , like editorial ."
O,This great work .
O,This is horrible .
O,This is horrible .
O,This horrible bullying .
O,Nobody knew what had happened .
O,Okay .
O,So what happened was and this is according to Peter Kafka from Recode .
O,He had a source who given the story .
O,"What happened was , I guess like a year ago , Facebook had done sponsored some event for Teen Vogue and there is supposed to be sponsored content associate with that event , but then Facebook , it said , actually , we don't want you to do this because like usually groups people out like it doesn't persuade anybody ever ."
O,"It just like , why are you hijacking my news source ?"
O,"Similarly , forget it ."
O,But then somebody in the advertising side at Teen Vogue had the piece written anyway and they put it into their cims like that tool that publishes their articles on the Internet .
O,"And it just like you left it , there is a draft ."
O,"And then months later , by accident , apparently some is just like , oh , no , he published his article and they hit it and it's so bad ."
O,"Oh , no ."
O,Yeah .
O,So that's what these a Şaban .
O,What do you think of that ?
O,It feels dumb enough to be true to me .
O,I know .
O,"Anytime there's like a thing happens , it's like , okay , either this is an organized conspiracy or somebody hit the wrong button ."
O,I always believe that the wrong button thing .
O,I just .
O,Yeah .
O,That's been my experience of life on earth .
O,"Hitting the wrong button , hitting hard ."
O,"But yeah , people just make stupid mistakes and like this felt like a stupid thing ."
O,I do .
O,"Alex , you buy it as a person who's accidentally published an episode of our show ."
O,That was a test episode .
O,Redshift Failure in your village .
O,I was making was running a test on the cims .
O,And so I made a fake episode of the show called Friendship Village .
O,It was just a copy of another episode we already had published .
O,Thousands of people downloaded it .
O,Really ?
O,What the hell is Friendship Village ?
O,Right .
O,So I believe that presently run here .
O,But yeah .
O,Okay .
O,Human error .
O,Human error .
O,"So that's that's like the first half like a story of weird hamfisted screw ups that look like conspiracy , but are in fact not a conspiracy ."
O,Possibly .
O,We think maybe also what they do say is .
O,I'm pretty sure this tweet was posted .
O,"As you know , Teen Vogue was like in the mists of like a publishing and on publishing and messing with this article ."
O,Okay .
O,"Part 2 , part 2 is very enjoyable ."
O,Just to remind people the treat again reads the Teen Vogue article is going to come back as Troy Becker .
O,So we've we've established what the Teen Vogue article is .
O,"Yeah , 50 minutes and worth forwards into the tweet ."
O,"Trey Parker OK , so ."
O,GOLDMAN Have you ever used musically ?
O,You mean Tick-Tock ?
O,Yes .
O,"Yeah , but you never used it before ."
O,It was exac .
O,"I knew about it before it was Tick-Tock because there were like 13 year old influencers who basically were just like lip sync to a song and then they'd get like 15 comments and people being like , he's so beautiful ."
O,I can't believe it .
O,I love him so much .
O,What was the name of that ?
O,There's one in particular whose name I'm trying to remember who for like a second was like the hottest .
O,It's like the same name as every influencers like Sebastian Shaw .
O,So .
O,So just to make sure you understand this .
O,"A few years ago , there was this app that became very popular among young teenagers called musically ."
O,And the whole point of the app was just you take a video of yourself lip syncing to a song .
O,Mm hmm .
O,And that's it .
O,You don't sing the song .
O,It's just you just lip sync .
O,"Yeah , that makes sense to you ."
O,It doesn't make sense to me .
O,No .
O,It makes so much sense to me because .
O,So .
O,Okay .
O,Yes .
O,"How old I am , I am so old that I remember a time in the West before karaoke and I remember when karaoke first came to our show Shores ."
O,Really ?
O,I think karaoke was always with us .
O,I remember it too .
O,No .
O,And and I remember people explaining karaoke to me .
O,And I remember the explanation like .
O,Yeah .
O,"They played the song , but like the words are taken out ."
O,And so you sing the song .
O,"And I was like , oh , that person's got backwards ."
O,"Like , why would I want to hear myself singing the song ?"
O,"It must just be that you lip-sync the song because I would never want to hear myself seeing somebody else's song , but it would be fun to sort of lip-sync the song ."
O,"And so for a long time before I had done karaoke , I thought people were just like telling it to me wrong ."
O,And then I went to my first karaoke bar and then I saw people singing the words themselves .
O,Yeah .
O,"And I was like , so mad I leave ."
O,"I was like , why do I want to listen to , you know , this song ?"
O,And then I got really into it .
O,So I think it was really fun as a person who's done karaoke with you .
O,Can I just say how glad I am that it's not just lip singing because of your beautiful singing ?
O,Thank you .
O,Thank you .
O,OK .
O,"So musically comes out , it doesn't make sense to me ."
O,Makes a lot of sense to you .
O,"It's the thing that you thought karaoke was , but there should have ."
O,"Finally , it's real area ."
O,The karaoke .
O,We all wanted is here .
O,And there's this guy named Paul Zimmer .
O,"He's in his 20s who becomes kind of like instantly like a huge star on musically , like he amasses ."
O,He starts in 2015 .
O,"Within two years , he has seven million followers ."
O,"Oh , well , his videos are like very much like me to show you one ."
O,Okay .
O,OK .
O,"He's standing in front of like a blank white wall , like a bedroom or something like that ."
O,"He's like dancing at lip gang and doing sort of sexy moves , dancing back and forth ."
O,"He's got like these like frosted Frinton , frosted tips ."
O,He has a big quite the highest hair of anyone I've ever seen in my life .
O,Yeah .
O,Now he's like showing us abs .
O,"He does little shoulder shimmy , accusing a cute boy who works at the mall and comes here , in my opinion ."
O,"Also , he doesn't have a lot of moves ."
O,It's like he chooses her .
O,He's string .
O,He puts his hand to his mouth like he's singing and he touches his hair .
O,And at times he kind of like mimes the words a little bit .
O,And that's it .
O,That's all .
O,It's all in the same bedroom .
O,"OK , so that that is Paul Zimmer ."
O,That is what people got really excited about .
O,They got a baby .
O,People got excited about that .
O,That kid .
O,That kid .
O,Yes .
O,Wait .
O,"Actually , sorry ."
O,Seven million people .
O,That's wild .
O,That is that's so interesting .
O,That's sort of like that is like .
O,It's like literally it's a vehicle for eighth grade popularity to go viral .
O,Yes .
O,"Nothing , I'm just feeling my bubbling resentment for popular kids in eighth grade coming back ."
O,You were just back in eighth grade .
O,I did .
O,I've always been I've always been like this and they've always been like that .
O,And I'll never forgive them for it .
O,"So he becomes like you done musically , musically , actually got bought , renamed to Tick-Tock ."
O,So then he became immediately like as soon as Tate hyphen .
O,She was like one of the biggest people on Tick-Tock .
O,He had a big Instagram channel .
O,He had a big YouTube channel .
O,And how old is he ?
O,He's 24 now .
O,He looks younger .
O,Right .
O,He looks a lot younger .
O,"Oh , interesting , okay ."
O,So isn't the answer surprised me about Paul Zimmer ?
O,"Because he's like he comes across as like literally just a pretty face , like he doesn't even have like a lot of personality , but apparently does his comedy videos ."
O,"They're really bad , though ."
O,So like this is from the clip is actually from another .
O,"You were making fun of him , but it's Paul Zimmer ."
O,"The clip starts with him , just like talking on the phone to a friend of his ."
O,Walking through what looks like a school that just hasn't been .
O,Seriously ?
O,So .
O,"The video was him saying on the phone , I just had some beans and then a fart sound ."
O,"Yeah , there's a fart sound of some passer Vagos ."
O,Seriously ?
O,And that's the whole video .
O,"You know , in addition to always having resented popular people , I've always found farts very funny ."
O,So I was totally fine .
O,"Otherwise , what are you back with that ?"
O,"Basically , you know , Paul Zimmer , you're right ."
O,They were not that different after all .
O,You have in his vast amount of beautiful popular about Alex .
O,"My theory about him up to this point is he's just like one of those people who is very good looking , who kind of maybe on one hand understands they're very good looking ."
O,He's like he's taking videos of his face every day .
O,But in another way is like does understand it .
O,"Like some of the privileges and ease of life that he's accrued has to do with his face , like he poses like completely unfunny economy videos ."
O,"But they get tons of views because people like comments in their polls , everything , whatever ."
O,Right .
O,Got it .
O,"So in twenty , twenty , sixteen musically had launched this other app called Lively where because the problem with having like 7 million followers on musically is there's no way to make money off of that really ."
O,Okay .
O,"But Lively came out and it was like you had your fans could buy these stickers for money , they could give you the stickers ."
O,Then you got proceeds from money as a way to like hit up your fans .
O,And Paul Zimmer started just charging people for whatever you could think of .
O,"You was like , if you send me stickers , I'll like , share your videos ."
O,I'll send you a I'm just like any micro social interaction on the Internet .
O,"Here , Monitise ."
O,Right .
O,The problem is .
O,"When people paid him to do those things , those people said that oftentimes he would just not do them like hundreds of people were saying this as his fans are getting very angry ."
O,"There's like this whole like band Paul Zimmer movement , like he kind of like couldn't say anything without being screamed at by like a horde of disappointed teenage girls ."
O,Got it .
O,"So like any reasonable adult , he did the only thing that made sense , which is to completely flee the Internet and completely never to be heard from again ."
O,Really ?
O,Yeah .
O,So he's gone .
O,He's gone .
O,Did apologize .
O,Just like left .
O,Wow .
O,Yes .
O,That's actually sort of an unusual ending to that story .
O,More unusual things will happen .
O,So when was this ?
O,"This was twenty , seventeen , twenty separate , twenty , seventeen ."
O,So like he is like a 21st century flimflam man who's like basically breezed into town .
O,"So he's a snake oil sort of people , his like voter shares and diapers and then picked up his steaks and moved on ."
O,Yeah .
O,Moved on .
O,Okay .
O,And then two years later .
O,He makes another post .
O,Okay .
O,"On Instagram , I find this part very dry ."
O,"Well , so ."
O,So October twenty nineteen he says .
O,He post a picture of himself and a picture of this actor .
O,Mm hmm .
O,And the whole pose is just like doesn't sector can look like .
O,"Like he says , like he says , like , hey , this actor tribe at Tribeca , A-G , kid , literally looks like a younger , sexier version of me ."
O,Crying smiley face emoji .
O,I don't even use social media anymore but had to post this haha he posted side by side of them .
O,This is Paul .
O,"This is the guy , Trey ."
O,They're the same person .
O,They're exactly the same .
O,"I mean , he tried to make it look as different as possible because of the quote unquote Paul photo is sort of like dimly lit ."
O,And it's very like it's a very candid photo .
O,It's just like a cell phone .
O,And he's like he's got like a lot of stubble and he's like sort of like not as politique polished .
O,"And then the Troy photo , quote unquote , tri-faith is like very it's like a headshot ."
O,It's got glam .
O,It's got that sort of like spherical gray thing that they do in the background of like school photos .
O,And it's like he's definitely got makeup on and like but they're not had a strong enough effect on Sunday .
O,"And yes , I in the next nobody be like , did you get a haircut ?"
O,"Yeah , it's not different ."
O,Up for the .
O,Did you get Erica .
O,Exactly .
O,Because they didn't have the same Erica .
O,"And then he makes another post or he says , hey , it's Paul Zimmer ."
O,This is probably going to be my last social post ever .
O,I just come to replace my life for being in the spotlight .
O,"And being entertainer is no in my passion , although it deeply saddens me to leave so bluntly , especially that so many of you have watched me for so many years ."
O,I didn't want my social media pages just sitting to die .
O,So I've decided to give my social media accounts to try Bekker .
O,I don't know why you guys a lot of subtle .
O,This was in October .
O,"Yeah , because he's one of the Dobis people I know ."
O,"And he's literally my younger twin , my much younger twin ."
O,I believe Troy's fifteen or sixteen years old .
O,Ha ha ha .
O,So this is a 24 year old man training of his people .
O,He's a 16 year old boy .
O,There is a certain kind of like .
O,"There's a certain kind of Internet scam where , like , it's so brazen that , like , I really , really there isn't ."
O,I feel like there was this heavy metal musician who was like doing a solo tour across Europe .
O,And basically I feel like I made a bunch of fake accounts and like made up a fake agent .
O,There was like this very you convince people that he was in a real band ?
O,"Yeah , it had tons of listeners ."
O,And then he would show up at these dates and had like a face like a fake like fanny councillor's stuff .
O,And he would get himself booked a new job at venues and nobody would show up because his band didn't actually have any fans .
O,"Like it was just him and some musicians we'd hired who didn't realize , like what he was actually up to ."
O,Right .
O,It is that level of audacity .
O,Like it just there's some people who really shoot the moon .
O,"They're just like , you know what ?"
O,I'm going to figure it out when I get there .
O,"And like , that's what this guy do ."
O,"You guys want to meet Troy Becker , your interaction video ."
O,Yes .
O,"Hey , what's up ?"
O,My name's Troy Becker .
O,I'm an actor .
O,"Cause him I reached out to me and asked to record a video because he says he really , really looks like me ."
O,And he wanted to post it onto something called Tick-Tock .
O,So please wait .
O,He's 15 or 16 .
O,Yeah .
O,It's October of twenty nineteen .
O,And he doesn't know what Tick-Tock is .
O,He doesn't know .
O,He knows .
O,There's also a lot because where it'll be like it'll be like Paulsboro .
O,So he really looks like .
O,"But I don't , I don't really see it ."
O,I .
O,Wow .
O,So everyone notices .
O,Like everyone else .
O,"Yeah , yeah ."
O,We're a very visual species .
O,I love that he made the plot problem of every of everything from like Shakespeare to Superman to Three's Company .
O,"The fact that you that you can easily disguise yourself , we didn't really do ."
O,You can't do .
O,He took that problem and made it his likes .
O,That was his plan .
O,Yes .
O,"The other one is they are the scam is that I kind of fell for a version of this like in my lifetime , which is when I was like a kid ."
O,"I think extremely , extremely gullible child making like really , really the most like what I am at camp ."
O,A bunch of kids sobbing .
O,There's a rumor going around that I wear diapers to camp and I could distribute as I pull my pants in front of everybody .
O,I'm super simple as I .
O,"Yes , you to pay that ."
O,But what I was like 10 .
O,"My my aunt , my cousin moved to Philly and they like stayed with us for a while with their get on their feet and my cousin just like loves to tell me elaborate lies because I believed every single one of them ."
O,Right .
O,"And one day he came downstairs and was like , hey , how's it going ?"
O,"And I said to him , he's like , that's my name ."
O,"I was like , What ?"
O,Why ?
O,"He's like , my name's Jack the Bulldog ."
O,"And he told me that he was a man named Jack the Bulldog who looked exactly my cousin , but it flushed my cousin down the drain and only difference to my cousin ."
O,And Jack was that Jack talked to artificially gravelly voice and he wore sunglasses all the time .
O,"And I was like , but those are my sunglasses ."
O,"You really would have benefited from having an older sibling , but you were like ."
O,But I guess it's true .
O,I guess it's true .
O,"You know , I totally thought I thought that a murderer lived in my house and then I couldn't tell anybody ."
O,How old ?
O,How old are you ?
O,Ten .
O,"Oh , my two ."
O,That is so funny .
O,But you know what ?
O,"My son , who's nine and a half , would totally be the same way ."
O,Like Ellia .
O,I think there's something about him .
O,It's funny because I think you've overcompensated and now you're like shifty and skeptical .
O,But probably there's something about Leg. when you're young and you and you have no instinct towards guile at all .
O,Like my son .
O,It's baffling .
O,Like why anybody would ever do that .
O,Yeah .
O,And I wonder if you were that kind of kid .
O,"Also , it's just like if you love stories , you'll believe bullshit stories for a long time ."
O,And then .
O,Huh ?
O,"When you realize you'll make up bullshit surge of like , oh well that seems fun too ."
O,Yeah .
O,I convinced my next door neighbor that there was a boy living in the walls of her house .
O,So really when I was a kid I was probably couldn't have been older than nine because I moved when I was nine .
O,But I think the only two kinds of kids are liars .
O,And jump .
O,No .
O,"Yeah , totally ."
O,I get divorce Zimmer .
O,"So basically , as soon as he posted that second , quote unquote , Troy Becker post , everybody just started making fun of Mike ."
O,"So , OK , so so okay ."
O,"So , so , so pieces that go unnoticed are the uncanny resemblance ."
O,"Every single time he tries to post anything as Trey , all these fans show up just like thousands of comments , every single comment either being like , dude , somebody was like , what was it like ?"
O,You are you're like the CEO pretending to be somebody else ?
O,Or the other thing they'll do is they'll be like they'll just quote back .
O,Paul Zimmer lines for the big man tree .
O,"You really look a lot like Paul Zimmer , like a younger , sexier suit , like do you work remotely ?"
O,And I don't know how it's supposed to work in his head .
O,"Like , I don't know what ."
O,I don't know what the plan even was .
O,"Oh , I thought the plan was like I will just be able to carry on ."
O,He wanted collecting money from the Internet .
O,"He writes , I'm new process ."
O,He wanted to do Whitman Don Draper scenario where he was going to take over that his life .
O,And just like he would have all of that person to accolades and needs and desires and be able to exploit their platform to get more money .
O,Right .
O,He no longer has the baggage .
O,It's a rebrand is it no longer has the baggage of having not fulfilled all of those things that he got paid for .
O,"Companies get to do it all the time , like , hey , we're not cigarette that company anymore ."
O,We're fresh air company cigarettes .
O,We're not Blackwater .
O,"We're X E , right ."
O,There was G.E. Financial that became Ally Bank .
O,I thought Bank was a new bank .
O,No bank was a that was the rebrand .
O,They did a good job .
O,They were one of the most bailed out banks of the of the financial crisis .
O,Really ?
O,Ally Bank is .
O,"No , it sounds a friendly way ."
O,"Your allies , like one kind of idiot would fall for this thing ."
O,But also the re-brand is like a wonder .
O,"I was like , I've never ."
O,"Rosebank , why do they buy so much advertising on NPR ?"
O,"Yes , exac also the rebrands , like visually , it's like purple ."
O,It's got like this sort of like modernly look to it .
O,It's really not a younger version .
O,"They're like a younger , sexier version of financial ."
O,Now as G .
O,Wait no .
O,And take it is a G G M .
O,Yeah .
O,"Ally Bank was like the GMAC , which was the financial arm of GM ."
O,General Motors .
O,Yeah .
O,Yeah .
O,So in Troy beggers case he was I think he was just trying to like just smile through all this .
O,And then this journalist for the New Statesman wrote like a huge piece as a reason I know about this .
O,"And after that , he shut down everything like Troy Becker seems to have disappeared as thoroughly as Paul Zimmer did before him ."
O,Got it .
O,"I mean , Tribe had until Troy Becker notices that there is a musician who looks like he was a little bit younger and sexier and his eyes are the goodness of his heart ."
O,Dan Ever's accounts .
O,That's amazing .
O,"al-Islamiya , do you want to try to go back and explain history to us ?"
O,"Yes , I do ."
O,"OK , so this tweet ."
O,The tweet again .
O,Dave Jorgensen tweeted this .
O,The Teen Vogue article .
O,He's gonna come back as Troy Becker .
O,OK .
O,"So the idea is basically there was an article posted on Teen Vogue that looks suspiciously like sponsored content , they took it down and it was caused a little bit of a brouhaha ."
O,That's the Teen Vogue part .
O,And then there is this .
