B-AD,"Support for this American life comes from Capital One with the Capital One , Quicksilver Card with Quicksilver ."
O,Like rocking it back and forth and singing to it .
O,The other thing that's happening in this scene is that they're all singing in different languages like the Soviet Union at this time .
O,There are all these different ethnic groups and then there they are all embracing this black baby .
O,"When I'm watching the spike baby being embraced , like , I wondered , like , was it true ?"
O,"Like , would black people really be embraced like that ?"
O,"And for like in the Soviet Union , in the Soviet Union and for the African-Americans who went over there and left to like escape racism , like did they somehow actually escape racism ?"
O,"Because , like , that's a question that I think about a lot , like , can I go somewhere in the world and escape racism ?"
O,Yeah .
O,I had a year to where I really thought about this a lot .
O,I was working as a journalist in Ferguson covering months of protest and a community really like I was covering a community that was in crisis after the shooting death of Michael Brown .
O,And I had just had this experience where I felt like I'd just seen some of the worst parts of American racism from watching people threaten other people because of the color of their skin .
O,"Just looking day after day , like the social inequalities that exist in St. Lewis and the structural things like redlining ."
O,And it like was kind of hopeless .
O,"I felt kind of hopeless about it early , said the time ."
O,"And I was a little bit like , I think I just have to leave here ."
O,"Like I I used to mostly play this game as like a coping mechanism where I would think about like , where in the world can I go ?"
O,"Like , I would talk to my friends about Ghana or like Central America or places in the Caribbean ."
O,"I'm like , do you think it's better ?"
O,"Or they could be like , would it be better there to be a black person there ?"
O,As you're seeing this film made you wonder about Russia and did it work out for the black Americans who move there ?
O,I don't necessarily think that Russia is a better place to live as a black person .
O,"But for those people who did move there in the 1930s and their kids and their grandkids , like what role did race end up playing in their lives ?"
O,"Like , how did it work out for them ?"
O,That's actually the thing that we're gonna be talking about in general in today's program .
O,"We have stories of people who decide , I'm going to go somewhere , I'm going to move there , I'm going to try to fit in and we'll see what happens ."
O,"And Frank , one and we are calling black in the USSR ."
O,"Oh , that's cheesy ."
O,You came up with that .
O,They know what I was .
O,It's good .
O,Any great for that activity ?
O,You good for descendants of those African-American expats in Russia .
O,And just explain who you found .
O,Okay .
O,"So the woman that I found , her name is Yelina Hunger ."
O,And she wrote this book called Soul to Soul .
O,She's a black Russian born and raised there .
O,"And I don't know , I sort of felt like a connection to her the more I read about her , because she's a college athlete like I was ."
O,She's a journalist like I am .
O,Her grandfather is from the same county in Mississippi that my grandmother is from .
O,"And I don't know , I sort of just felt connected in a way ."
O,How did you find me ?
O,Like originally ?
O,Yeah .
O,Your book .
O,"Oh , you read the book ?"
O,I read the book .
O,Yeah .
O,"Because I'm so like I said , like Yelina as a journalist ."
O,She had a successful talk show in Moscow .
O,"They call her the Russian Oprah , which is almost definitely because she's black and had a talk show ."
O,It was her grandparents who moved to Russia back in the 1930s .
O,They had a leftist New York version of a com meet .
O,Cute .
O,"Her grandmother , Bertha , was a Polish Jew who'd been arrested at a women's rights demonstration ."
O,"Her grandfather , Oliver Golden , was black and had been arrested down the street at a human rights demonstration ."
O,Then they met at the jail .
O,"And in the morning , the rabbi came to bail my grandmother out ."
O,"And my grandmother said , Oh , wonderful ."
O,Could you please bail me out together with my new friend ?
O,All of a golden .
O,"The rabbi , her father saw that Oliver was black and her father looked at her as said , well , you're sitting in jail with you and your friend and left them there ."
O,And that's how their love story began .
O,"The weird , weird matchmakers situation ."
O,But it worked .
O,"The couple didn't see a future for themselves in America , so they decided to go to the Soviet Union ."
O,"Oliver had visited before and they wanted to help build London's great new society , one that promised no racism ."
O,Oliver and Bertha settled in news .
O,Becca Starn .
O,"My grandfather thought there would be some kind of a kinship between African-Americans and dark skin use , big people ."
O,That's why he chose to go there .
O,And he worked as an expert in cotton .
O,"Yes , her grandfather left the American South and traveled halfway around the world to work in cotton ."
O,He developed a new breed of cotton that would work for Uzbekistan's short growing season .
O,And life was good .
O,"They made good money , had a nice apartment and any for when their daughter Lily was born in 1934 ."
O,Oliver wanted her to have everything he thought white kids got in the United States .
O,"So Lily had language , tutors , music and tennis lessons ."
O,But their lives got harder after they became full Soviet citizens and lost their foreigner status .
O,"And after Stalin began to solidify his power , they started to live like everybody else ."
O,Oliver died in 1940 .
O,Lily grew up and went to college in Moscow .
O,She married a politician from Zanzibar knowing his dad .
O,He died shortly after Elaina's birth .
O,So the only consistent black presence in her life was her mom .
O,The neighborhood she grew up in all white from a very young age .
O,Being black meant constantly explaining herself to the world .
O,My best friend was sachem .
O,"He was a neighbor , and since my childhood I thought he was my brother ."
O,Because we were together all the time .
O,So in the street when somebody would ask me Why are you black ?
O,"He would say , No one ."
O,She's my sister .
O,"Number two , she's black because her father was from Africa ."
O,And guess what ?
O,Everybody is black in Africa .
O,"And they would say , yeah , but she was born in Moscow ."
O,She's supposed to be white .
O,"And this is okay , Yolanda , if somebody else ask you the question about color ."
O,We're just beating them right away .
O,It's how we were known in the neighborhood .
O,The most cruel fighter .
O,He taught me how to fight .
O,"He told me , you take a bottle , you break the bottle ."
O,"And with this , whatever is left , you just put in the case ."
O,So we were bad kids in the neighborhood .
O,This was when she was only 7 years old .
O,So Russia wasn't some racism for Utopia .
O,People like Ilena obviously came up against what I would call racism .
O,"But when I asked ulyÁna about it , that was not racism ."
O,That was curiosity .
O,"That was ignorance , but not racism ."
O,This happened a lot in our conversation .
O,"ulyÁna would tell a story about some experience that sounded honestly horrible to me , but she'd always insist that it wasn't racism or discrimination ."
O,It was ignorance .
O,I think that ignorance can be and often is racism .
O,But I didn't want to debate that fact so much as understand how she thought about it .
O,Other people commented on it .
O,Helinet didn't think too much about the color of her skin when she was a child .
O,"She didn't feel different because she was black , but because her family came from America ."
O,"It wasn't until she started thinking about boys in love that she thought more and more about the way she looked , how much she stood out from everyone else ."
O,"And I would ask my mother , Mom , why am I so ugly ?"
O,Why is my nose so big ?
O,Why are my lips so huge ?
O,"And she will say , no , you're beautiful ."
O,And then she would ask her American friends to bring American magazines black and lovely .
O,I think it was called black and lovely .
O,"And my mom would show me those megadoses say , look , those beautiful women , you look just like them ."
O,And I was .
O,Take this .
O,I was so proud .
O,"I would take this magazine , bring it to Sasha and other friends in the street and say , look , I'm just like them ."
O,"And they would say , Yelina , this is a very strange magazine ."
O,Why is everybody black in it ?
O,Don't bring those magazines any more .
O,And I felt so lonely because I didn't have anybody just like me .
O,I had assumed that there would be a little community of all the black Russians that they'd stick together and hang out all the time .
O,But it sounds like healing .
O,It didn't have that wasn't around people that looked like her .
O,"Not even her mom , really ."
O,"Lily , it was much lighter and gorgeous ."
O,According to Lena .
O,"Just for the record , when I met Ilena , I thought she was gorgeous ."
O,There's something regal about her .
O,"It's hard to imagine her as a self-conscious teenager , but she was my mother would always remind me ."
O,"Let's say she would tell me , be careful with boys ."
O,"They would not date , too , because they love you , but because they would want to try dating a black girl ."
O,And that's why my self-esteem was damaged .
O,Probably because I didn't trust any Russian guy that would approach me .
O,And I didn't believe that somebody would fall in love with me at all .
O,Sincerely .
O,I wanted to know the ways in which being black shaped Giuliani's life in Russia and to hear her tell it .
O,Her family was never denied an apartment because of their race .
O,She was never put into an inferior school because of her race .
O,She was never singled out by law enforcement because of her race .
O,"There wasn't that kind of institutional racism , but she was lonely ."
O,She felt undesirable .
O,Being black made it hard for her to imagine a future with a partner .
O,So much of my conversation with her was about wanting to find her person .
O,Her strong desire to find someone and her fear that she wouldn't .
O,"Despite her insecurities , Ilena was popular and accomplished ."
O,"She took music lessons , spoke perfect English and was an excellent tennis player ."
O,"Just as her grandfather would have wanted , her mother constantly reminded her that she had to be better than everyone else ."
O,"Apparently , you still have to be twice as good in the Soviet Union ."
O,She was recruited to play tennis at one of the country's top universities and accepted into their prestigious journalism program .
O,"She had so much going for her , but she still felt like no boy would ever want to date her until she met Vasya ."
O,He was a chess champion .
O,"I'm go well , I studied in Moscow state universities ."
O,I was a tennis player .
O,He was a chess player .
O,"And we were beautiful , full , and he had a very rough time dating me ."
O,"Then the coach , physical training coach of the university called his parents and said , Do you know that he's dating a black girl ?"
O,"And and they said , well , yes , why ?"
O,What's wrong ?
O,And that's because she will get pregnant and she will marry him .
O,"Then his parents called my mother and said , if you think that your daughter will make our son marry your daughter , you are wrong ."
O,"And then my mom said , if you think that my daughter will marry your son , you're damn wrong ."
O,There's no way .
O,"My gorgeous daughter , very young ."
O,"And it was just going back and forth , back and forth ."
O,"So he felt that he had to demonstrate that no matter what , he will be with me ."
O,So he started missing his glasses and he would come to my classes and sit there .
O,"So the teachers from his glasses would write to him , you have to attend ."
O,You have to attend .
O,"Boom , boom , boom ."
O,So the end of the story was very sad .
O,He was kicked out of university for mixing classes .
O,He was taken to the army where he .
O,He had to go to the army .
O,Yeah .
O,Yeah .
O,"If you are kicked out of university , you have to go to the army ."
O,How so ?
O,That was my first experience dating .
O,Boy .
O,"Yeah , a pretty dramatic end to a first relationship ."
O,But the drama didn't stop there for ulyÁna .
O,"A few years later , she dated a Russian guy from Barrenness , a small town about a day's drive away from Moscow ."
O,They went to visit his parents and stay for the weekend .
O,"One morning , she came back from the shower and got her boyfriend's mother examining the bedsheets ."
O,"And later I asked my boyfriend , what was she looking ?"
O,"And he said , well , she never saw people of color ."
O,So she thought that the sheets turned and she was very surprised that they were clean .
O,"But again , it was not racism ."
O,It was pure ignorance .
O,Pure ignorance .
O,And this woman adored me later .
O,So but I felt that enough is enough .
O,And it's time for me to to be with people that knows who I am .
O,Don't look at cheats .
O,Don't ask stupid questions .
O,Something was missing for Ilena in Russia .
O,"And like me and her grandparents , she decided to look elsewhere for answers ."
O,She thought she'd find them in the very country that her grandparents had fled America .
O,"ulyÁna had heard about American racism , but she still thought she would be better off in the USA ."
O,"When we saw Eddie Murphy , when we heard about our tour ESH , where we heard about those brilliant musicians and jazz musicians and all of them were black and very , very , very successful ."
O,"So when my grandmother would start telling me about racism , I would say , yeah , yeah , yeah , right ."
O,And think about all those very famous African-American athletes that would be laughing all the way to the bank .
O,So I felt that I would be understood much better by people like me .
O,"And in fact , yes , I was thinking and I was dreaming about going to United States and marrying an African-American ."
O,"When you pictured and dreamed of going to America , why did that life look like ?"
O,"How would this guy look like when I knew my dream , I said life ."
O,But I guess that's a good description of the guy .
O,Yeah .
O,"See , I was not really dreaming about skyscrapers and , you know , capitalism and all that ."
O,"I didn't understand about that , but I just felt that ."
O,What's this song ?
O,One day that he'll be tall and black .
O,A dark song .
O,Was that one Gerald Prince would come ?
O,Yeah .
O,Yes .
O,"Actually , it's the man I love ."
O,It's Gershwin .
O,Not Disney .
O,But what do I know ?
O,My parents almost exclusively listened to Stevie Wonder's in provisions for most of my childhood .
O,I was expecting to me to Prince that would look like me .
O,"And he would look at me and say , Oh , my God , you're so gorgeous ."
O,"Because even the guy that really , really loved me , vice-mayor in the university , he used to call me monkey ."
O,He called me monkey would love .
O,He didn't realize that that was insulting .
O,And I never told him that in America .
O,That would be insulting .
O,"But , you know , in Russia , guys would call that girl's a rabbit ."
O,I don't know .
O,My cat called me my monkey .
O,And I couldn't explain to him that that was racist because I knew he was not a racist .
O,That's just how he called me .
O,And I felt okay if I looked like a monkey .
O,And so what ?
O,Wait .
O,"Some guy called you monkey and you didn't say like , hey , wait , that's not you can't do that ."
O,But he didn't insult me .
O,He didn't mean to insult me .
O,He loved me .
O,"And as I told you , he was punished for this ."
O,And I would have trouble about it .
O,I know .
O,I know .
O,It sounds terrible to you .
O,I know .
O,Yelina moved to America in 1989 .
O,She was 27 years old and she built a life for herself there .
O,She worked as a journalist .
O,"She made friends , black friends ."
O,She loved to go to black churches and listened to gospel music live .
O,"She went to salons , actually knew how to style black hair , and she found her black prince charming ."
O,He was perfect .
O,He was perfect .
O,He was playing tennis .
O,He alive jazz .
O,He liked classical music .
O,He was just perfect for me .
O,They dated for a few years .
O,Elina was sure he was going to propose .
O,And then one night he invited her out to a fancy restaurant .
O,So I got dressed and prepared .
O,I knew what how I will answer him .
O,So we go to this restaurant .
O,"Their offense , the restaurant and the reception ."
O,They tell us that we are sorry .
O,"It is packed , but there's just one place near them ."
O,Bathroom .
O,"And he says , no , no , no , we're not taking it ."
O,"And I said , no , we're not ."
O,"He says , Well , but I want to sit near the window ."
O,"I said , well , it doesn't really matter ."
O,"Window , bathroom ."
O,"I mean , it's clean ."
O,The food is the same because I wanted to hear the proposal .
O,Okay ?
O,I didn't care where we were sitting there .
O,Yeah .
O,So he said no .
O,"And he says , Yolanda , you don't understand ."
O,Our grandparents were fighting .
O,"They were dying for the right to sit at the window , not at the bathroom ."
O,"And I said , you know , in Russia , unless you bribe , you won't get a table regardless of your call ."
O,"As long as you're green , you will get it ."
O,"So please stop thinking , stop feeling so insecure ."
O,"And he said , you know what ?"
O,We would never understand each other .
O,You're black outside .
O,But you are white inside .
O,You don't understand what we went through .
O,And that was the end of our heads up and a year early .
O,"Yes , yes ."
O,Yes .
O,Because it showed that we were so different .
O,And he said that we would never understand each other .
O,She agreed .
O,They had different pain points in Russia .
O,"She had an experience , a kind of institutional racism he had ."
O,And she said her boyfriend couldn't possibly feel the things that upset her as a Russian .
O,The way she felt them .
O,"Do you feel like you fully understand African-American , like the sort of like pain points are ?"
O,"No , I understand them , but I don't feel them ."
O,That's the difference .
O,"The things that upsets , let's say , African-Americans ."
O,I can see why that upset .
O,But it doesn't hurt when he said to you .
O,"Like your black on the outside , but your way on the inside ."
O,What was your reaction to that ?
O,I thought he was stupid .
O,"I said , how could I be black and white ?"
O,Inside I am .
O,"I mean , I'm Priam and the things that I went through ."
O,You don't understand .
O,"Did you guys ever talk about race before that , that argument that you had in the restaurant , was that like a conversation you guys had are not at all ."
O,"No , he no ."
O,We didn't talk about that .
O,No .
O,Was did it surprise you when it came up in the restaurant ?
O,"Yes , it did ."
O,"Because I still don't believe that if they didn't offer us a place near the window , it meant that that was racism ."
O,I still don't believe so .
O,"So for you , it feels easier just to sort of give like a little bit of the benefit of the doubt ."
O,"Ηarvey like , I can't I can't know for sure whether what the atten what the intention was ."
O,So I guess you and I don't want to I don't want to think about it .
O,I don't want to damage my nerve system by thinking about that .
O,I will never know the truth .
O,Number one .
O,"Number two , it can be both ."
O,"Number two , it can be both ."
O,"And number three , what difference does it make ?"
O,It's so interesting that you say that just because I feel like it's a thing we do all the time in America is that we we replay out these moments of discomfort for each other in the black community over and over and over again .
O,For what ?
O,For what ?
O,I don't .
O,"Meaning what if you told me that I did that and a result as a result , this restaurant was was closed , for example , or as a result , this waiter was kicked out ."
O,That makes sense .
O,But why going through that again and again and again without any results ?
O,Why scratching the place still the first blood on your body ?
O,But but I think like part of the reason we do it is to recognize that like these .
O,This is still how this is happening .
O,Like we must acknowledge that this is happening .
O,We can't pretend it's not happening .
O,"Yes , I acknowledge it ."
O,"But again , if I was , I would sit down at home and start , oh , they did it because I'm Jewish ."
O,"No , they did it because I'm black ."
O,"No , they did it because my grandparents are American ."
O,"No , they did it because of that and that done that ."
O,"You know , there's no end to that ."
O,"I think for many black Americans , there's a curiosity ."
O,They need to understand and explore that constant unease we experience because I'm black .
O,Is my doctor giving me proper care because I'm black ?
O,Am I here to fill a diversity quota because I'm black ?
O,Am I being pulled over ?
O,Part of what it means to be black here .
O,Part of what draws us together is investigation of that discomfort .
O,There's Camino reassurance in that .
O,I know that black people are not a monolith .
O,Yet the fact that ulyÁna didn't have this curiosity surprised me .
O,But it also made sense .
O,Ulin It didn't have an echo chamber of injustices growing up .
O,"I can talk to my hairstylist , my trainer , my family and say , Hey , this thing happened ."
O,"ulyÁna had no community to share with , nobody to co-sign ."
O,"Her problems were not those of black people , but her own ."
O,I want to be clear .
O,Being black is not some joyless exercise for me .
O,I wouldn't trade it for the world .
O,I'm not moping about .
O,But Elaine is right about one thing .
O,"Thinking about race all the time is exhausting , but I can't let it go ."
O,And I try to explain to her why I feel like part of it is like it it all .
O,"If there's small things that I feel like in some ways add up to one really big problem that just still hasn't been solved , that it's like it's small things that add up to feeling like you don't belong here , but like the country that you've always that you've always existed in life doesn't want you ."
O,And I I don't know .
O,I had this myth .
O,"I had this dream that , yes , somewhere there is another world where I belong to ."
O,And this is America now with you .
O,I don't understand where your dream house .
O,I don't know where it fits .
O,I don't know where .
O,I don't know .
O,Exact like back to Africa .
O,Right .
O,Are you talking about going to Africa ?
O,I don't even think it's necessarily back to Africa .
O,I think I don't know if this place exist .
O,I think it's just this this place in some way still doesn't accept me after all of this this time and that maybe this is as good as it gets .
O,And maybe there isn't another place or a better option .
O,Do you do you think it's silly that I think about these things so much ?
O,"Yes , I think that's silly that you think about it so much ."
O,There are more important things in your life that you you don't have to waste your time on things that you cannot change and you don't have to change those people if that's how they are that you don't I don't think you have to waste your life on changing them .
O,You just drop them and go on with your whole life .
O,Don't worry about the things you cannot change .
O,Sometimes I think healing is right .
O,I'm silly for obsessing over this stuff .
O,And I wonder if maybe she's better off for not having spent her entire life puzzling and picking over every interaction with white people that maybe her grandparents moving to the USSR helped her bypass parts of America's particular brand of racism .
O,But maybe I never really had a choice .
O,"Race , specifically black and white , is such an integral part of living in this country ."
O,"Elaine insists I have bigger things to worry about , but honestly , I can't think of anything that affects me more ."
O,Being a black American is what keeps me from feeling like I truly belong in this country .
O,Have you ever felt like you belong somewhere ?
O,Like have you ever found that place ?
O,You know what ?
O,"For me , it's not where it's more wood home ."
O,That's what was important for me when I lived in the United States .
O,It was important that I was surrounded by people I really loved .
O,It doesn't matter where I am as long as I'm surrounded by love .
O,That's all that matters .
O,I wish that surrounding myself with people I love salt my problem .
O,I am surrounded by people I love .
O,A lot of those people are black .
O,"And as long as I feel threatened on behalf of all of them , I can't stop wishing there was a better place for us ."
O,"Yulin is a better place , turned out to be right where she started ."
O,"She lived in the USA for twelve years and might have stayed , but then she met her husband , a white Russian man , and they moved to Moscow , where he did treat her like a princess ."
O,"It was hard to find a black salon in Moscow back then , so he had fired Paris just to get her hair done ."
O,Manual Bery is one of the producers of our show .
O,"Thanks to you , Alina , Demi Kosky is making a documentary about black Russians that includes Yelena hongo ."
O,"Coming up , a guy gets kicked out of a thing he had no idea he could get kicked out of ."
O,That's in a minute .
O,Chicago Public Radio when our program continues .
B-AD,Support for this American life comes from Capital One with the Capital One Quicksilver Card .
I-AD,You earn unlimited 1.5 percent cashback on every purchase everywhere with Quicksilver .
I-AD,There's no limit to how much cashback you can earn .
I-AD,Capital One .
I-AD,What's in your wallet ?
I-AD,Credit approval required .
I-AD,Capital One .
E-AD,Bank USA and A .
O,"This American Life , I'm IRA Glass , today's program ."
O,Get back to where you once belonged .
O,"Stories of people who do not feel quite at home , where they are searching for their place and their people ."
O,We've arrived at act two of our program at 2:00 .
O,"Nowhere , man ."
O,"So this story is about somebody who felt like he really had found his place in the world , a job he was good at ."
O,Group people that he liked and admired .
O,And then he got kicked out and kicked out in this way .
O,He didn't even know was a possibility .
O,REPORTER Jamie Raff explains .
O,"Raul Rodriguez is like a lot of the dads I grew up with in Texas , but somehow even more so , fixes his own truck , kills his own goats ."
O,"When you walk into his living room , there's two bulkheads on the wall , a big TV , and in the middle of it off the thing he's most proud of ."
O,On a little shelf encased in Plexiglas .
O,This is my Department of Justice badge or the immigration inspector badge .
O,"That was it's kind of surprising that no end up working for immigration , given how he first met those guys ."
O,"He grew up in Mission , Texas , right by the border ."
O,He'd go back and forth between Mexico and the US all the time .
O,"And when he crossed the border , agents would always stop them ."
O,Justice Chop's asked for his papers .
O,He'd always show them .
O,Here's my birth certificate .
O,"Born in Brownsville , Texas ."
O,They were jerks about it .
O,"By the time Roe was a teenager , he says it was like a ritual ."
O,"The after usually kind of looks at you and starts saying , OK , what's your name ?"
O,"Says , You know what , we're bringing you in here ."
O,Yeah .
O,"Pretty much , yeah ."
O,They wanted to know if I'm a citizen or not .
O,This is all I am .
O,"Well , we know you're not , Mrs. locatable ."
O,Show me all you know we can show you in town .
O,Come on .
O,Analysts .
O,I've been here many times .
O,And it's not right for you to harass me like this .
O,I know why .
O,I know because I look God look .
O,I don't look the part .
O,I don't look guests as as U.S. citizen enough as you want me to be .
O,"My features are very Hispanic , wearing Mexican ."
O,"Eventually , after a bit , they'd let him go ."
O,Every time .
O,He was going back and forth across the border so much because his parents were in Mexico and he lived with his aunt and uncle in Texas .
O,It wasn't a great situation .
O,His cousins never really accepted him .
O,It beat him up at family functions .
O,"His aunt and uncle would introduce their own kids first , then him ."
O,He says he was an afterthought at best .
O,I got calls from bastard two to a negative because I was different from their color .
O,That was very dark compared to them .
O,They were very light skinned .
O,And I don't know if you .
O,What's what the translation would be in the Adderly model .
O,Do you know what I'm talking about ?
O,I remember the word Adderly .
O,It's a relative that just stays there like a leech .
O,"When Raul would visit his parents during the summers , he'd beg to stay ."
O,"He hated living in Texas , but they always send him back ."
O,Your mom gave birth to you on the U.S. side so you could be a citizen .
O,They'd say it's going to be better for you there .
O,Trust us .
O,"Eventually , Rawal says it did get better after high school when he joined the Navy ."
O,"The structure , the order , the authority ."
O,"He liked it , which led him to law enforcement after the Navy ."
O,"He became an immigration officer , just like the officers who harassed him when he was a teenager , even got assigned to the same bridge used to cross back then ."
O,Some of the very same officers who doubted his citizenship were now his co-workers .
O,I had this one inspector that that that's a female .
O,"And when I showed up for work for the first day , I told her , remember means and I don't remember you used to take me inside and you wanted to break me ."
O,"And this was I mean , they were ."
O,"Yes , you were very mean ."
O,Try to intimidate me a lot .
O,I'm sorry .
O,"From the beginning , Raul was a very thorough officer ."
O,"For example , one day this guy comes through who rebel knows really well ."
O,Used to work with him in a furniture factory .
O,I was like an uncle to him .
O,He's coming from Mexico into the United States .
O,Raul checks his papers and it turns out the guy had a tourist visa which doesn't let you work .
O,"Raul revoked the visa , took it away , didn't let the guy in for a while ."
O,"At one point , they called me ."
O,They got all kind of like pain in the ass because I wouldn't let anything through .
O,I had to do it .
O,I didn't let anybody slack .
O,Rawal wasn't just thorough .
O,His wife told me there are a lot of slugs in federal government .
O,Raul wasn't one of them .
O,"He's an above and beyond guy , a standout ."
O,And he stood out more and more because it's pretty well documented .
O,"Customs and Border Protection or CBP , had some ugly instances of corruption , bribery , drug smugglers infiltrating ."
O,"By contrast , Raul was a total Boy Scout , even won an award ."
O,"In 2006 , a woman approached him while he was buying cigarettes at the gas station ."
O,She asked him if you would look the other way while she smuggled in a kid and pushed a little piece of paper in his hand with her number on it .
O,Rebels set up a sting in the next Sunday .
O,Met .
O,He wore a wire .
O,She was later arrested .
O,CVP gave her all its integrity award .
O,"One of their highest honors , his bosses flew to Washington for a big ceremony ."
O,We got to wear his finest uniforms .
O,His kids were there .
O,We got to see him walk across the stage and shake the commissioner's hand .
O,"They gave him a plaque , which these days sits in a place of honor near the deer , heads in his living room and in his personal life , too ."
O,He was totally by the book .
O,He was taught not to fraternize with anyone breaking immigration laws .
O,It could cost you your job .
O,So you have to cut ties with anybody that's had that kind of a history .
O,While everybody has people very legally in the US .
O,So you have to cut those out .
O,Anyone who is close to who was undocumented .
O,Cut out of his life .
O,Friends .
O,Family members .
O,Raul didn't make exceptions .
O,Rebel found his home customs .
O,It's actually remarkable how much rubble refers to the people he worked with this family as a brotherhood .
O,I finally belong to somebody to belong to something .
O,"And it feels good to to be wanted to be accepted when you never did , when you were not cast or when you were just there ."
O,"They did all the things families do , a combination of responsibilities , but also fun through barbecues ."
O,"They went to baptisms , birthday parties ."
O,They hung out all the time .
O,"Then one day in April 2013 , roll goes work ."
O,He's starting his shift and I see the two managers come in .
O,"I said , Oh man , there comes the two chiefs ."
O,"Be everybody , be careful ."
O,Make sure you're not on the phones and stuff like that .
O,They go into the office .
O,"They set up , I guess , and I'm doing my work and stuff ."
O,And one along comes out .
O,It says a little and come to the office .
O,"Roll had no clue what this was about , but it looks serious ."
O,They never called you just for nothing .
O,And they don't come in twos .
O,Just another .
O,They have to have a witness .
O,They open up an envelope and that's where it says this is .
O,"It says we're gonna have to pick up your gun , your weapon and your credentials ."
O,"This is the paper says you're no longer , as of this date , a law enforcement officer until four pending further further investigation and no investigation ."
O,Or what for ?
O,"No , I'm not ."
O,I've never done anything wrong .
O,We don't know nothing about that .
O,This is we're just giving you the notice and here to pick up your weapon and your badge .
O,"And so I take off my belt , that gear on my belt , and I take off my badge and I take out my credentials and I give it to rolls ."
O,Head was spinning .
O,He'd worked there for 18 years .
O,He was close to retirement .
O,Had he done something illegal and not known about it ?
O,Something small he'd forgotten about .
O,He scanned his memory and he couldn't think of a single thing .
O,Will walk back out into the main office .
O,Everyone was looking at him kind of sideways .
O,"I was embarrassed because I had to do that walk of shame , walk amongst my my fellow officers and without a badge and a gun ."
O,"And people were just looking at me saying , Hey , what's wrong ?"
O,What's wrong ?
O,"I said , I don't know , man ."
O,I don't know .
O,He sat at his desk for a minute and then he called his wife .
O,She works at another branch of homeland security .
O,"He was quietly freaking out , so he went home ."
O,He and his wife went around and around trying to think of what it might be for the life of them .
O,They had no clue .
O,"About a week later , the the OIG , the Office of Inspector General , wanted to meet with me at the courthouse building ."
O,They take us into a room .
O,One of those typical cop rooms that has a small table and it has a dark window where they there would they you know that they're watching you from the other side .
