B-AD,"Hi , it's Phoebe ."
O,I think maybe 10 or 15 women at the time assisting police and I got hired .
O,"There was one Asian Canadian , there was one African Canadian ."
O,"And there was more to it for us that the guys were like guys , large farmers , lots of farmers , kids , lots of key players ."
O,And I chose to work in two places in Saskatoon that were the first nation population was really high and it just became an identifiable person .
O,"You didn't have to like me if you did , but you knew who I was and that made such a difference ."
O,So I end up pretty much sticking up patrol for my entire career .
O,"Ernie , it was familiar with 17 year old Neil Stone child and his 14 year old brother Jake ."
O,They were both Sarto First Nations members .
O,"The Stone Child Brothers had had multiple run-ins with the police for petty theft , drinking and breaking probation ."
O,Both boys had spent time in youth detention centers .
O,Erni found it very odd that Neil Stone child would be found by himself in such a remote area wearing only one shoe when the temperatures were so far below freezing .
O,The local paper reported that his blood alcohol level was well above the legal limit and his cause of death was listed as hypothermia .
O,He was last seen five days before his body was found .
O,"Ernie wanted to see what was in the Saskatoon police file , which he wasn't supposed to be looking at because he wasn't a detective ."
O,He looked it up anyway .
O,"It went back to the police station and found the file number on the computer and against regulations , had the girls pull the file ."
O,So had no no involvement in it .
O,"That girl from Central Records , a lady said records ."
O,And they pulled it for me .
O,"And because it wasn't my file , anyone , we caught reading a detective's file , especially on a sudden death , because , you know , sudden deaths in homicides were suppose to be really not not perused by patrolman ."
O,"As a case , you learned something you didn't weren't supposed to learn or whatever ."
O,Ernie made a photocopy of the file and took it home with him .
O,And I read this report .
O,It was right .
O,"Twenty six years , I can remember ."
O,How many pages ?
O,Twenty seven .
O,Wasn't Fosbury Long .
O,Most of it's just your initial responding officers and also forgotten to get to the investigation of it .
O,And it was concluded it the investigator concluded that Neil St. Charles had wandered .
O,It was going up to Adult Correctional Center to turn himself in on smolts any words yet ?
O,And I knew right off the bat that I was .
O,That was ludicrous .
O,"It was for one , he was a young offender and candidate , young offenders , 18 and under ."
O,And there they don't get housed at adult institutions .
O,So basically said that he was walking to the wrong facility to turn himself in .
O,Any froze to death .
O,"Basically , that was the conclusion ."
O,"Ernie went to see Neil's mother , Stella Begnaud ."
O,The last time Stella had seen Neil was the night of November 24th .
O,"Five days later , the police showed up at her door and told her his body had been found ."
O,She told Ernie that she couldn't get any updates from the police and that she couldn't get anyone to give her back her son's belongings .
O,She felt like no one was listening to her .
O,Erni says he made up his mind that he was going to try to help .
O,"First , he went to a staff sergeant ."
O,He says that didn't go well .
O,He was told to speak with Sergeant Keith Jarvis .
O,Sergeant Jarvis had been with the Saskatoon Police Service for 24 years and he'd been in charge of the investigation into Neil Stone child's death .
O,He closed the file and I went into certain services office and it went bad .
O,"From the minute I walked through the door , you could tell ."
O,I was .
O,I was the last person he wanted to see .
O,What did you say when you walked in ?
O,I say I have information about the definite deals .
O,Don't show up .
O,And he was instantly angry .
O,"He you know , he says , what are you doing medaling this kind of thing ?"
O,"And it went on for 45 minutes and basically told me I didn't know what I was talking about , that I shouldn't be meddling in things ."
O,I don't know anything about nothing .
O,I can remember about that meeting was even remotely good .
O,There is no thanks for bringing this information in .
O,"You know , we look into it , blah , blah , blah ."
O,Nothing .
O,"Just 45 minutes later , if he knew what my concerns were , he pretty much told me that that's keep my nose out of it the day that things get out to me ."
O,"And that's such an open statement , right ?"
O,That things can happen to you .
O,"And when your copy of it could be a lot of things , it could be you could be sidelined into a front desk position ."
O,"You could be you know , I'm not ."
O,Right .
O,"Anyway , it was ."
O,So I left there and I was I was incredibly frustrated .
O,"I thought , well , you know , there's no way they could not do something now ."
O,I'd given them all the information I had .
O,"You know , whether it was hearsay or not , it was still worthy of of them having a look at it ."
O,And there's I thought they'd got it .
O,They're going to contact Stella .
O,"And at least reopen us or take a second harder look , at least a supervisor ."
O,"But I went back and seen Stella my next shift , and she said no one had been this year at all and that nothing had changed ."
O,"And I said to her , I said , if there was a white kid , I said , are the son of the Mary said , I'm sure this wouldn't be closed ."
O,And you know that you be treated better .
O,Knows .
O,It was just it was such to me .
O,"It was such poor , poor policing ."
O,"A few months after Neil Stone Child's body was found , the Star Phoenix ran a story with the headline Family Suspects Foul Play ."
O,Police say every avenue investigated .
O,That was the article that Dan and his colleague Less Perreault found a decade later when they were digging through the paper's archives .
O,They decided to put Neil Stone Child back in the newspaper on the front page .
O,"Nearly 10 years after his death , they put his picture and his story just above a story about the suspected role of Saskatoon police officers in the deaths of Rodney Maestas and Lawrence Wegner ."
O,"Inquests were just getting underway into those cases and juries would end up concluding that the men died of hypothermia but failed , quote , to determine the circumstances leading to the deaths ."
O,"In the case of Darryl Knight , the man who had survived being dropped off by police , an all white jury ."
O,Seven men and five women found constables Dan Hagin and Ken Munson guilty of unlawful confinement .
O,They were sentenced to eight months in a low security correctional facility .
O,"With all this going on , there was a lot of renewed interest in the circumstances surrounding Neil Stone child's death ."
O,Federal police started looking into it .
O,But there is a problem .
O,"No one could find the police report from the initial investigation in 1990 , the file had been purged ."
O,That was it was a rumor at first .
O,And I didn't pay attention to it because we were just there were so many rumors going around .
O,It's time .
O,So I'd heard that the file had been purged in a routine purge of files .
O,10 years or older and assisting placers when they were trying to free up space in our old police station .
O,So I got interviewed in a whole bunch tie-ins because I .
O,But then they'd learned that I'd had information about it .
O,"So I had my notes , all the notes they had , and I showed it to them ."
O,Sure .
O,Until I got interviewed by the RCMP several times and all during this while this was going on .
O,"Course , you police became the kind of focus of the national attention in Canada and corser as accusations of racism and murder and all these things ."
O,The RCMP is the Royal Canadian Mounted Police .
O,Canada's federal law enforcement .
O,Erni says he was willing to talk to them .
O,The case had been bothering him for years .
O,"He remembered his conversations with Neil Stone , child's mother and brother , and remembered thinking that something didn't seem right ."
O,"And then one day in 2001 , Ernie was looking for something in his basement ."
O,Going through old boxes .
O,When he opened a box that he hadn't opened in 10 years and then was sitting there with a copy of the Neil Stone Child record .
O,You'd forgotten that you saved it ?
O,"Yeah , I had my possible explosives call our ticket box for so long and I took it out and just brought it home and I put it in my berry box and it was the only important existence ."
O,"And I called the RCMP guy right away and I called our deputy chief from the SUSSINGHAM police service and got a gun in my truck , drove downtown , gave it to them and they photocopied it ."
O,What were you thinking ?
O,Were you thinking ?
O,"No , thank God I saved this ."
O,Are you thinking I'm going to get an even more trouble now or .
O,"You know , I thought I thought I was gonna be in trouble , actually , because , you know , you weren't supposed take reports for this one ."
O,"Always bugged me , Soileau ."
O,"Always , captain ."
O,Yeah .
O,"I you know , I kind of felt jeopardy ."
O,"There's a few times through this whole course , all this I felt Jeopardy disc just for breaking rules or whatever the case was ."
O,"But this one here , I knew when I filed the report that that was gonna change things for for me , I was gonna change things for a lot of people ."
O,But I was happy in one respect that I was trying to articulate what my concerns were to the RCMP and stuff like that .
O,And there it wasn't black and white reporter Danza Kreisky .
O,Ernie was able to produce original documentary evidence that just sold how badly the police service had screwed up that investigation .
O,He played an incredible part and he had an insight into how it wasn't handled .
O,In February 2003 .
O,Saskatchewan's justice minister announced there'd be an official inquiry into the death of Neil Stone Child .
O,The inquiry started in September .
O,There'd be 43 days of testimony and 63 people would testify .
O,So a lot of work in the inquiry went into trying to establish or come up with a set of facts on what happened the evening that Neil Stone child went missing .
O,"And again , this was happening at a time in the police service when we know we didn't have in-car cameras , we didn't have G.P.S. units in the cars ."
O,"So it was difficult to have kind of an objective standard of , you know , who was where and when , according to the original investigative report , the one that Ernie had photocopied and had been filed by Sergeant Jarvis back in 1990 ."
O,No member of the police force had any contact with Neil Stone child on the night of his death .
O,"But during the inquiry , Neil's friend Jason Roye testified that he'd seen Neil in a police car that night ."
O,"Jason said Neil had been yelling , Help me ."
O,These guys are going to kill me .
O,Jason Royte testified .
O,"He told Sergeant Jarvis about seeing Neil in a police car , but none of this made it into the report ."
O,Several of Neil's family members testified that they'd seen gashes and bruises on Neil's face at the funeral and marks on his wrists .
O,Ernie Looted testified for two days .
O,What did you say when you testified ?
O,I was so I go sugar-coated .
O,"I was I soundly criticized assisting police in their investigative procedures and how , you know , how Neil Stone charged that in particular was investigated ."
O,I talked about the environment back then and and the way his death was investigated was .
O,"It's awful , and the way his family is treated was awful ."
O,"Did anyone say , you know , your turn coat ?"
O,Or do you don't do that to .
O,I'd say .
O,"Most everybody that I worked with , like my generation offshoots , were supportive ."
O,All right .
O,Some of the older cops were not .
O,But I don't want to paint all those guys with the same brush .
O,There is a lot of good police officers back .
O,"And just I partly , I suppose , because where I was working , I I dealt with more those the ones that weren't ."
O,"But yeah , lost lost friends , made friends , even , you know , I think that self-preservation thing kicked in ."
O,A lot of police just didn't want to talk away .
O,Right .
O,And and even years later .
O,"For me now , there's still police officers retired that say he should quit talking about this Neil Stone child thing ."
O,Right .
O,"And for a while , you know , I think ."
O,What are they right ?
O,Should I stop talking ?
O,And then I thought about it .
O,"No , it was an important story ."
O,"And at the end of the inquiry , you kind of skip into ahead here ."
O,But at the end of the inquiry .
O,"The justice right , who had overseen the inquiry , released his report was five months after the inquiry ended and my wife and I were sitting at home and the provincial minister was releasing it ."
O,And just as right .
O,Stated that he believed that to sustain police constables had Neil Stone child in their cars the other night that he died .
O,And it was shocking .
O,Here stands the Kreisky .
O,They lost their jobs .
O,"There was never enough evidence to the to criminal charges , but they were tagged as the guys who had , for lack of a better expression , killed Neil Stone child ."
O,And not everybody believed it .
O,"You know that the police association , that the chronology that was put together was a tough set of facts all around ."
O,"But these fellows , you know , we look back on it ."
O,They paid for the sins of the Saskatoon Police Service in Neil Stone Child's Death .
O,"I think the really damning part of the Stone Child inquiry , though , was when the family came forward , how the investigation was just blown off ."
O,There was no investigation .
O,And that became a real systemic issue .
O,Justice Wright called Sergeant Jarvis's investigation superficial and totally inadequate .
O,He made a series of recommendations to the Saskatoon Police Service .
O,"They included in-depth training about race and that the province , quote , establish an introductory program for Aboriginal candidates and candidates from minority communities for police services ."
O,Do you think that the deaths would have been investigated earlier if it hadn't been First Nations people ?
O,"I don't know , it's it doesn't ."
O,"You know , probably , yeah ."
O,I'm hesitating because it doesn't speak well for media as well .
O,"Certainly within the First Nations community , there was a sense that , oh , you're just waking up to this now was an eye opener for a lot of people , myself included ."
O,I think this to be the first time that most people in the United States will have heard about this in June of 2003 .
O,Then Police Chief Russell Sabot apologized on behalf of the Saskatoon police force .
O,"He also said , quote , It's quite conceivable there were other times he said that in 1976 , an officer was disciplined for driving a native woman to the outskirts of town and abandoning her there ."
O,"In 2016 , Danza Kreisky was contacted by a college student trying to write a paper on the Saskatoon Police Service ."
O,The student told Dan he couldn't find anything about the Starlight tours on the Saskatoon Police Service's Wikipedia page .
O,"And when he checked back , he found out that it had actually been edited out ."
O,"Apparently , that's one of the features of Wikipedia , as you can see the edits ."
O,"And he did some digging and we verify this , that the Starlight Tours section had been edited out by somebody at the police station ."
O,"Now , what we were able to determine was that the police were sort of caught dead to rights ."
O,"You know , they acknowledged that , yes , the IP addresses as to where these edits were done trace us back to the station ."
O,But they were never able to determine who or where in the station happened .
O,Their Internet logs were wiped every 30 days just because of the amount of traffic .
O,"So they admitted that somebody in the station , for whatever reason , had decided to take that particular part of their history out ."
O,"And it was very embarrassing for them because , you know , you're 16 years past the inquiry and all that stuff ."
O,And yet there was clearly still people within the station who just didn't want that to be known .
O,"We contacted the Saskatoon Police Service for this story and received the following statement from the current police chief , Troy Cooper ."
O,All recommendations made as part of the inquiry into Neil Stone child's death were implemented by the Saskatoon Police Service .
O,"There's been a great deal of change within the service over the last 16 years , including training , recruiting and relationship building with members of the indigenous community ."
O,We continue to look for ways to strengthen those relationships .
O,The majority of our officers currently serving were hired after the 2004 inquiry and after the changes were implemented .
O,Our service supports calls for an independent oversight board .
O,"Criminalists created by Lorne S'pore and Me navia Wilson is our senior producer , Suzanna Roberson is our assistant producer ."
O,Audio Mix by Rob Buyers Special thanks to Michelle Harris .
O,Julian Alexander makes original illustrations for each episode of Criminal .
O,You can see them at This is Criminal dot com .
O,We're on Facebook and Twitter at Criminal Show .
O,Criminal is recorded in the studios of North Carolina Public Radio W u._n._c .
O,"A proud member of radio topia from PR X , a collection of the best shows around , including brand new shows like This Day An Esoteric Political History ."
O,Each episode takes one moment that happened that day in our political history .
O,"Some well known , some more obscure and discusses what lessons it has for this moment ."
O,"It's a show that tries to give a little historical perspective to these very odd times , and each episode is 10 minutes long ."
O,"It's hosted by Jodi African , formerly of FiveThirtyEight , and historian Nicole Hemmer of Columbia ."
O,New episodes arrive every Tuesday and Thursday .
O,Go listen .
O,I'm Phoebe Judge .
O,This is criminal .
O,Radio Tenpenny X .
