B-AD,The Master's in Business podcast is brought to you by Invesco
O,saying that most men when they say that feel as if they're giving up something that admiration is a currency that when I say that that it somehow takes that away from me especially young men .
O,So what I encourage people to do our young men is to say look one of the greatest things that can take you off track is that don't assume that people in your life are telepathic thinking loving thoughts about your friends and family doesn't make you a loving person .
O,You have to express these things and the greatest untapped resource in the world is the good things you feel about other people that you don't articulate .
O,We assume that people telepathically understand that we admire them that we respect them that we're fond of them .
O,And I think the fastest way to increase your short term happiness is to find the courage to when you when you feel good things about other people to express them .
O,And quite frankly it's a little bit embarrassing .
O,You make yourself vulnerable .
O,Sometimes it can even be off putting to the other person .
O,But on the whole I think it's one of the greatest hacks to feeling more grateful and being more happy is just expressing all the good thoughts that run between your ears every day .
O,So you're suggesting an individual can decide to be happy and decide to be grateful can implement hacks in order to achieve that state .
O,So I think there are best practices and I don't think there is an equation .
O,And I also don't I want to I want to be I want to disclose that I think there's certain forms of depression in neuroses that require outside intervention
O,but there are through and there is no one equation .
O,So the title is a little bit misleading one happiness is a sensation .
O,We were talking about economy before when I'm really talking about as the decisions and investments you make through the course your life such that the arc or the narrative of your life is a little bit more satisfying and the highs and lows that we all experience swing on a higher plane .
O,So I don't think there's any one equation people have to find their own route but there are best and worst practices .
O,So the Harvard grand study largest study of its kind on happiness found worse than that .
O,Let me interrupt you .
O,They tracked 400 by 400 men over 75 years .
O,Yeah over 80 years .
O,And it's interesting started I think in the 20s and was it which gives you sort of insight into the way we thought about people most important in the 20s we decided to track 400 men right like who shows about women's happiness 19 20 isn't good .
O,And no women of course is surprised by that .
O,And we waited till we tracked them for 80 years that scientists tracked them for 80 years .
O,Everything that a what they did at work all of their relationships their sporting activity or lack thereof their media and then queried them on a regular basis their levels of happiness and satisfaction and then aggregated the largest data set on longitudinal happiness ever and then said What are the best practices among the people who are happiest or seem more satisfied .
O,What are the worst practices among people who seem least satisfied one .
O,And they had to swap out four principal scientists so let's start with the worst practice .
O,The one thing that was prevalent or consistent most often across the cohort where the lowest level of happiness .
O,And he guesses
O,alcohol
O,100 percent alcohol .
O,And that's surprised me by the way this is like what I call it .
O,Do what I say not what I do .
O,I love alcohol .
O,I feel as if I've gotten more out of alcohol than it's gotten out of me .
O,Great . Churchill quote
O,Although although you write in the book that in your 20s and 30s alcohol mess with you .
O,Yeah it did .
O,It did .
O,And I'll I'll come back to that but basically alcohol was seen in a lot of instances as ruining relationships taking people's health off track careers coming undone .
O,And what I when I look back when I first moved to New York in the 80s and I took a job with Morgan Stanley every night I'd go out and get pretty much you know drunk with other people that felt like they were successful at a cool place downtown and it had sort of this sort of call artificial relevance and fabulous ness to it .
O,And I found that over time I was less effective at work .
O,I lost touch with a lot of people I wasn't investing in relationships with my family and I decided after two years of that that I was just going to dial it back .
O,And the problem I find with young people is that their litmus tests are whether they have a problem of substances as they say .
O,Am I addicted .
O,Have I had an intervention .
O,Am I living under a bridge .
O,And if they have a job and they're well liked and they're doing well they think I don't have a problem with substances .
O,But it's not that black and white .
O,There are nuances here and
O,80 to 90 percent of substance abusers are functioning substance abuse .
O,The better question is If I dial down X Y and Z substances whether it's trans fats whether it's alcohol whether it's pot whether it's shopping would I just be better at a bunch of things .
O,And what I counsel my kids on are my students is take stock of every external substance and imagine you did a half two thirds 80 percent more because there's also I think this narrative it has to be 0 or 1 .
O,You either have to totally give it up or you don't have a problem .
O,Everything in moderation at
O,100 percent .
O,So but for me it was something where I felt a lot healthier a lot better .
O,And but yeah that's definitely the one thing they found happiness .
O,The best practice if there is a hack and of course a student someone to get to the one thing is they found that the cohort that was happiest it was pretty pretty straightforward .
O,It was based on the depth and number of meaningful relationships in their life
O,at work . Do you feel respected admired .
O,And do you respect and admire other people amongst your friends . You get a sense of camaraderie and joy and do they sense camaraderie and joy from you
O,and at home amongst your family do you feel an intense level of support and love and just as importantly do you know they feel that sense of love and joy from you
O,in this sense the Harvard Grant Study burned through four principal scientists because they kept trying over the course of those eight years summarize this 100 something page report and has the best opening line of any academic study to summarize the findings and it's the following happiness is love .
O,Full stop .
O,And that is the one thing we find across almost all these studies on happiness that it's their ability to invest in and maintain deep meaningful relationships across your friends and at work and at home .
O,Let's talk about those students and I want to reference something in the book that I thought was fascinating .
O,There is a chart effectively that looks like a smile that shows where people in their life cycle or happiness .
O,Sure
O,when they're young then when they're old .
O,Tell us about that .
O,Yeah it's difficult .
O,This is just gorgeous gorgeous data because across all studies and across cutting across ethnic groups income cohorts cultures we found are they find something very similar .
O,And that is people are generally happiest in the beginning and the ends of the lives and that is from zero to 25 .
O,It's the stuff of Disneyland your first car exploration of self spilling into adulthood football games you know just magic right .
O,And then kind of from 25 to 45 it's what I call the life gets real face .
O,And that as you find that you're not going to have a fragrance named after you you're likely not going to be a senator someone you love gets sick and dies .
O,Having children is stressful .
O,What's interesting we don't like to talk about is that when we survey or when they survey people with kids and with our kids on average the people with our kids are actually happier knocked out kids without kids .
O,That's surprising .
O,It is surprising how at the end of life people's consistently say we have a hormone that releases that erases the bad times and we feel more rewarding and more fulfilled . Having had kids but during it they're less happy .
O,It's stressful .
O,Kids are stressful they put economic pressure on you you know .
O,One of my favorite things is you know kids ruin everything .
O,Babies are awful and they get less awful but still it's kids are . Kids are difficult .
O,So you have and then you find that you face economic stress usually at some point in your life with the cycles and you find you wake up oftentimes sometimes 25 35 45 and you're disappointed .
O,We have a tendency to anchor off the most successful person we know we have a tendency to believe what college and our parents told us that we can be anything which is
O,this is why Facebook Instagram is so toxic .
O,Well it's especially toxic because again we have this wonderful competitiveness gene that ensures that the next generation will be taller faster smarter stronger .
O,And by anchoring and aspiring off the most successful person we do that has a very positive evolutionary benefit .
O,But it also makes us feel bad about ourselves .
O,And the thing about Instagram is that these people become somewhat relatable and to Boutin who I think is going to go down as one the more interesting thinker says envy is a function of familiarity so we don't empty the Queen .
O,We don't say I wish I were the queen .
O,I wish I were rolling around that carriage but on Instagram you not only see what you're missing out on .
O,You see it play out in real time amongst your friends .
O,And it's kind of their success is shoved in your face especially among young people who are unable to really to really modulate that .
O,But 25 to 45 are usually is usually your least happiest time .
O,And then something wonderful happens in your 50s and in your or younger if you're soulful and you start finding appreciation and joy in places you didn't find it before .
O,I used to surf when I was younger because I thought I was cool .
O,Now I'm kind of fascinated by the idea kicking me out then I would even call it surfing or more it's more McLean to a piece of fiberglass for dear life .
O,But the fact that several thousand tons will emerge because of the geometry of the sand floor and the way the sun feels and I mean you just you're just joyous ride
O,these small things that look like you called children become more joyous you maybe take stock your blessings maybe have a little bit economic security
O,you realize life is finite you appreciate your health you find joy in things you'd never find joy in nature or art and you get happier and the cohort that is happiest would logically be the cohort that should be the least happy and that's people who start to have their health fail and those seniors who are consistently the happiest .
O,So the advice here is simple in your 20s and 30s among people who are having a tough time and that is this is it this is a normal part of the journey .
O,And the key is to keep on keepin on that happiness waits for you .
O,Look let's roll back from the 50s 60s and later years to those 30s and 40s you write in the book .
O,This is the time of your life where you have to make your bones were you going to work hard .
O,I'm going to put in a lot of hours but you need to do that during those decades . So so the future in happiness arises .
O,Explain that .
O,So I survey the kids again the students about where how much money they expect to be making in 10 20 and 30 years and 90 plus percent of them expect to be in the top 1 percent .
O,So granted this is selection bias because the second year of business school in New York the average salary coming out of schools one hundred and eighteen thousand .
O,Right .
O,Which is a lot of money that already all but the median across the already puts them in kind of at eighty fifth or 88 percentile and they expect to be in the 90 ninth by the time they're 35 or 40 .
O,And my observation and I believe those data to back this up is that if you expect to be in the ninety ninth percentile balance is a myth and we all know somebody who's good looking in great shape has good relationships with their parents donates time at the ASPCA and has a food blog .
O,Assume you are not that person unless you're smart enough to inherit a lot of money if you expect to be in the top economic weight class . You should expect to do not much else other than focus on your career in your twenties and thirties .
O,And by the way I want to acknowledge that's not the road to happiness for everybody .
O,A lot of people say I'm not going to hell in the money storm I'm going to find a way to lower my burn and I'm not going to let money dictate my happiness .
O,We live in a capitalist society and most of the people we know have decided that they want a certain level of economic security and success and it has to be an honest conversation with yourself .
O,In my 20s and 30s I don't I don't know about you Barry .
O,I don't remember much else than working and I want to be clear . It came at a price .
O,I am bald .
O,I burned through my first marriage and I am not going to totally abdicate personal responsibility for those failures but I think a lot of it was the fact that for two decades I was very focused on economic security and not much else .
O,I think young people just have an honest have to have an honest conversation because we're told when we're young you can have it all .
O,Well I am sorry I'm not here with a message of hope .
O,It's difficult to have it all in there .
O,Everything is a trade off so I have a lot of balance now . As you do because I didn't have very much when I was young and that was a conscious decision I made
O,quite quite interesting .
O,So we talked a bit about technology .
O,Yeah
O,let's get into some of the details about this because your your previous book obviously delved into some areas you made some bold forecasts some of which were incredibly prescient .
O,You said a year ahead of time .
O,Hey Amazon should buy whole foods will give em a giant footprint blah blah blah .
O,And they did .
O,Were you at all surprised by this whole Amazon HQ debacle .
O,Well so look and I'm I'm boasting here but the beginning of 2018 I said this isn't a contest it's a con .
O,And that is I've been on seven public company boards a dozen private company boards and I've been to four headquarter relocations .
O,And in retrospect it all came down to one thing and that is where the CEO wanted to spend more time where he was he or she was president of their golf club or where his next wife was living .
O,When you are a 55 year old man with 155 billion dollars it means that you have more options than anyone in the world and you are the master of No .
O,So query me this a guy who is 55 or one hundred fifty five billion dollars .
O,Is he going to spend 12 minutes much less 12 weeks in Indianapolis
O,is the wealthiest man in the world going to decide to roll in Columbus Ohio and this is the sophisticated analysis I did bury
O,the Bezos have four homes one in Seattle one in L.A. one in the Upper East Side and one to Cal around a D.C. L.A. made no sense because they couldn't justify that close geographically would make no sense to have a headquarters is down the coast .
O,So I said on Fox CNN and CNBC this is all a ruse .
O,They had game five . This to extract a pound of flesh from municipal police fire and school departments and transfer it to Amazon shareholders but they have absolutely no intention of going anywhere but D.C. and New York .
O,And I was wrong .
O,It was both right you said D.C. or New York to D.C. or New York .
O,And I was wrong .
O,They picked both .
O,This wasn't a contest .
O,It was economy by the way while I'm on a river remember that terrible imagery that there were that kind of race baiting that Reagan engaged in the image of a welfare mother who had a welfare queen right .
O,Right .
O,The driving the Cadillac .
O,Yeah .
O,An individual gaming the system .
O,Right .
O,And taking our tax dollars for their own benefit .
O,The mother of all welfare queens is Jeff Bezos because he never sells a stock triggering a capital gain meaning he never ever leaks taxes never pays taxes .
O,So how does he finances lifestyle Barry .
O,He borrows money in one and a half to two and a half percent against his stock at JP Morgan and then 17 percent of every subsidy given to Amazon whether they located a data center or a headquarter goes into his pocket .
O,So if you looked at our economy with 20 trillion dollars 5 trillion government 600 billion goes the military or whatever is assuming that I'll go to Social Security and outflow is to the wealthiest man in the world .
O,Jeff Bezos is a is is literally the mother of all welfare queens and Alexa . Is this a good thing .
O,So let me push back on that a bit because I am no stranger to corporate welfare queens .
O,And to me the biggest offenders are the Wal-Mart's not the McDonald's .
O,The companies who have gained the system right .
O,The ones who figured out how to charge how to pay as little as they possibly can .
O,Then I've got Memphis since right .
O,Remember a couple of years ago McDonald's literally had a mic help line so that they could get their employees on food stamps and Aid to Dependent Children .
O,And when you look at the highest employers of government assistance on a state by state basis it's invariably Wal-Mart and and or McDonald's .
O,Now over the past five years they've improved a lot .
O,Know I can't blame Bezos for a not showing a profit by reinvesting their money .
O,They go purposefully or low profit company no profits mean no taxes .
O,And B if he chooses not to sell his stock again I can't push back too hard on that .
O,Yeah but the point that hey you the wealthiest men in the world this is one of the highest market cap one of three biggest market cap companies in the world .
O,Pay your fair share of tax on Amazon that that nobody can argue with .
O,So you said a lot there and I think at the end of the day we have to have greater minimum wage it hasn't kept pace with inflation .
O,And Wal-Mart and all of these companies should be probably paying more money and the government should be paying less to so of these people can survive .
O,I acknowledge the point .
O,Now whether or not it's what is worse having billions or tens of billions of dollars spread across low income people or the working poor or going out to the wealthiest man in the world I would argue that the latter is worse .
O,I don't think Jeff Bezos is doing anything wrong .
O,I think the man in the mirror the guilty party here is you and me who haven't elected officials who are smart enough to recognize that the markets have gone through a fundamental shift and when a company can become the third most valuable company in the world it is on its way to becoming the most valuable company in the world
O,when it can effectively pay no taxes because the markets don't demand profits or meaningful profits . We have an economic and taxation construct that no longer works for our society .
O,We can't have a functioning economy when the most successful company in the world . Amazon pays one point four billion in taxes since 2008 .
O,And Walmart has paid 64 billion remains .
O,I'm not saying they've done anything wrong but our economy can't operate
O,so even in France and we immediately think that any idea from anywhere else is socialist or stupid that we are . We have a monopoly on good ideas .
O,But France has basically said look we give up your tax lawyers are smarter than our tax authorities .
O,So we're going to tax you on your top line revenues .
O,Brazil is doing the same thing
O,in Britain . Google registers about 6 billion sterling in business every year .
O,And for the purposes of profitability and taxation they report a 50000 pound profit every year on a product that's got six billion dollars on signal 10 billion or so 10 billion seven and a half right .
O,What is that 127 say about seven point six billion .
O,Shocking .
O,And they've decided what they report to the government that can be tax is 50000 pounds and it's expensive to do business in London .
O,It's not that expensive .
O,So we're in a system now where when you have the most successful company in the world not paying taxes when you have companies that game the system and can avoid the you know avoid taxes by locating in the Isle of Jersey apples international headquarters is in a smile a small island off the British coast .
O,I mean this is this is arguably these companies are normally masters of technology are masters in business are masters of tax avoidance and we haven't elect the elected officials that they acknowledge and we'll counter what is a regressive tax and that is the most successful people the most successful companies pay less taxes
O,and taxation is largely a zero sum game which means the following . Small and medium sized companies have to pay more .
O,So we have basically said all right if you win the lottery in lower and middle income people effect hundred percent more .
O,So this is we have we have institutionalized a regressive corporate tax structure
O,and that's problematic .
O,And to go to your point that Amazon headquarters search was a con today . Just today we learned that they're looking to take 50 or 100 thousand spay feet of space in Manhattan regardless their offices . So let's go and everything was just a nonsense a total Ruse Right .
O,It's all right .
O,They need to be at this location .
O,They need to have access to the talents or whatever else is here .
O,And the whole thing was just luck .
O,I think this reflects poorly .
O,I think this reflects that the board of Amazon and Jeff Bezos lack character and code because this was nothing but an elegant transfer of funds from municipal fire police and school districts into the shareholders pockets of Amazon shareholders
O,to their credit . Google and Apple are all both adding thousands of jobs in New York why we have three world class universities here .
O,It's a fantastic place to do business .
O,And you know what that comes at a cost
O,the worst poker players in the world . BILL DE BLASIO And in Governor Cuomo they were always coming here .
O,They were always coming here and even when they pulled out and said oh we're angry relating .
O,Well now they're coming here they're just doing it quietly because bottom line the wealthiest man in the world doesn't need to commute to Ohio .
O,He's not going to .
O,So let's talk about a couple of our other favorite tech companies .
O,I read something fascinating actually e-mailed you the story about we work and their new investment subsidiary that's going to buy the buildings that they're going to sell .
O,Now I haven't bought into we work as a Ponzi scheme although and I know you've said some harsh things about them .
O,But the idea that they're going to invest in the buildings that they then sublet to themselves starts to smell like old cheese a little bit .
O,Yeah .
O,It's so look the most overvalued private company until about two months ago was uber .
O,Mm hmm .
O,And they were claiming that they were worth 120 billion dollars .
O,Now they're not even worth 60 or 70 .
O,This company could execute perfectly and still be cut in half in terms of any reasonable maneuver .
O,We're talking about 100 percent .
O,Do you agree that they waited too long to go public and left so much value on the table because they got greedy or when looking behind .
O,I think that they should have never gone public in the private markets are now more amenable to companies like this an asset essentially here's a better prediction .
O,Everyone talks about his uber tests going out of business .
O,I think the Nasdaq and the NYSE are going out of business way better .
O,We'll come back to that rule rollback a sec .
O,Uber which has 30 of 40 billion in venture capital .
O,How do they not go public .
O,There's no exit for tons and tons of CEOs who weren't looking for 5 percent a year for a million years .
O,There's secondary markets now in the private markets there's liquidity in the private markets and never used to be not 30 billion dollars worth .
O,Not a whole not eight .
O,Yeah they raised eight .
O,That's a fair point they probably can raise a billion .
O,But there were secondary trades taking place there secondary trades right now and in stocks and in and you know you can buy shares in most private companies now is secondary .
O,There's liquidity .
O,Now again the retail investor who loses the retail investor now gets to buy stuff when it's totally overvalued and there's no other source of that kind of capital .
O,But going back to the most now the most without overvalued private company in the world is we work supposedly it's being valued at 40 billion dollars .
O,I think they did two billion in revenue and lost two .
O,I mean this and they have their own metrics I call it hey that's a 50 percent margin test and they call it community based EBITDA ratio .
O,And if you do the analysis and one guy I think maybe even your Bloomberg did the analysis and said based on this valuation the floor that we work leases is now worth more than the building
O,the whole building right .
O,So and you have you have a company sort of investing long taking out 10 year leases and then going short on its revenue .
O,Right .
O,Because which and that's the value is there are being a demand around short term supply .
O,That's downturn they're in trouble
O,huge trouble .
O,And even again if this company executes perfectly it's not worth I mean it's a Regis with IPA beer .
O,Remember Regis sure it's it's a cooler it's a great concept they built a great brand .
O,You know I think you and I could probably build a great brand around a two billion dollar business if were allowed to lose two billion dollars .
O,This company is a train wreck in terms of valuation really what's going to happen with the IPO .
O,Will there be an IPO that it'll be really interesting to see if we work and get out .
O,I wonder if the marketplace is starting to exit the consensual hallucination between unicorn status and all these B.S. words I'd like to do a word cloud across every prospectus and lift a newbie who saw things like networking effect flywheel effect autonomous driving .
O,First off there's no evidence that autonomous driving will be either good nor bad for Uber and Lyft .
O,It just means they don't have to pay the drivers they'll pay a little more for the car and they'll drive but quite frankly their economic advantage advantages they figured out a way to find four million people who will work for below minimum wage right .
O,That's not a good thing .
O,It's that what about what about four million cars for zero wage
O,but who garners the economic value there it'll be the engineers that create that technology album and why is that going to be uber and not Google which is the greatest concentration of IQ ever anyway .
O,I think you could argue both ways .
O,What's going to happen there .
O,What Uber has been able to figure out is a flywheel effect and that is has launched a new business on this incredible platform Uber reads because there is real value in Uber .
O,It's a global brand .
O,It's typically the first and the last brand the global affluent interact with when they're in a foreign city .
O,They've got tremendous data .
O,They've got a fantastic brand as culture of innovation .
O,There's a lot of things they could do there .
O,So if they execute perfectly they're only going to be worth what BMW is worth which is around 30 billion dollars of the stock's going to get cut in half .
O,The company that could go to zero if they don't get acquired is Lyft .
O,There is no network effect there .
O,There is no global brand .
O,There is no flywheel effect .
O,Really it's just a company hemorrhaging money .
O,You don't think that there will be space in the market for a number two to Uber is number one .
O,I don't .
O,Here's the thing about .
O,So it's easy to talk down stocks .
O,A company that I think is undervalued is Arabic maybe
O,because what you need with Arab BMV is you need local do you need local supply you need apartments in the same way with ride hailing you need local supply you need drivers in Cleveland
O,but with ride hailing all you need is local demand and that is you and I could start a ride hailing company here in New York and create demand and supply
O,with air BMV you need local supply but you need global demand .
O,That's the majority of people coming into Cleveland are from Scandinavia and Capetown and all all manner of cities around the world .
O,So they have extraordinary moat around their business .
O,But ride hailing has very few moats a low entry a lot of local players it's a price war .
O,They convinced the consumer that 20 dollars worth of service is worth 14 dollars .
O,They're not afraid to go after each other .
O,They have a decent amount of cheap capital .
O,This is going to get very ugly .
O,So left . I think that's either you know lift gets maybe blocked at some point but you can imagine lift going to zero .
O,There's real value in Uber real value maybe even 20 or 30 billion dollars in value but at 60 now I have a difficult time making the argument for how this company in any way justifies that type of job .
O,We have been speaking with Professor Scott Galloway of NYU Stern .
O,If you enjoy this conversation well be sure and come back for the podcast extras .
O,Well we keep the tapes rolling and continue discussing all things technology and happiness related .
O,We love your comments feedback and suggestions .
O,Write to us at MIB podcast at Bloomberg dot net .
O,Be sure and check out my daily column .
O,You can find that on Bloomberg dot com .
O,Follow me on Twitter at riddles .
O,I'm Barry Ritholtz you're listening to masters in business on Bloomberg Radio .
B-AD,Something remarkable happens when just the right elements come together .
I-AD,Ideas with technology data with inspiration .
I-AD,Investors with solutions .
I-AD,This is what Invesco does every day because they believe the possibilities of life and investing are greater when we come together .
I-AD,From ETF s to mutual funds to alternatives .
I-AD,Let's invest in greater possibilities together .
I-AD,Invesco .
