B-AD,If you're listening to this podcast it means you're ready .
O,So the company is taking on other rare diseases now as well .
O,Tell us about the company .
O,Was it grown too .
O,Yeah .
O,It's grown quite a bit .
O,Tony we've had this this drug which by the way I would have thought that after I did serious everybody would say OK Martin you know you know how to run a business will invest you know whatever you need for United Therapeutics .
O,It turns out that beginning all the investment had to come from me because Wall Street said well nobody is going to buy this medicine .
O,I mean there's two thousand people if they pay you know like a thousand dollars a year that's that's not going to cover all of your costs .
O,So that that medicine and that drug that people thought would be absolutely useless today generates a billion and a half dollars a year .
O,And how much did you capitalize the business originally .
O,So myself and was capitalized originally at the level of 20 million dollars .
O,Wow .
O,And that's 20 million dollars has now grown to a market cap of 5 billion .
O,Wow can say 40000 live 40000 people today .
O,That's incredible .
O,Incredible .
O,So one of the one of the rare diseases that I've become I think a little bit obsessed with and very very passionate on everybody loves when you become obsessed . Because it means life's going to change is a people who need an organ transplant a kidney transplant a liver transplant a lung transplant or a heart transplant .
O,And for people with my daughter's disease and some of the other ones that we treat if there's no medicine that can help them . Their only solution is a transplant .
O,And I've met some of my daughter's young friends who before our medicine got approved their disease advanced very rapidly .
O,There's one delightful young lady Kristen Gill day .
O,She could play Mozart beautifully on the piano .
O,She got a lung transplant .
O,Her body rejected it .
O,She lived her last year of life in a hospital and died and I vowed to myself that I was going to stop that sort of thing from happening .
O,So I have been on a mission for the past few years to say why can't we manufacture replacement organs the way we manufacture replacement parts for cars and machines and planes and so our company has become a leader in this area of organ manufacturing .
O,I always start practically .
O,So I said Why don't we start with the organ said people nicely donate but are throwing away because the transplant doctors think that they're you know being out of the body too long been without blood too long .
O,So it wasn't founded the number was like 80 percent of lung 80 percent where 80 percent are just throwing away the lungs .
O,Somebody is nice enough to have donated that .
O,Unfortunately they got in a motorcycle accident or something and they died and the doctors and I don't really fault the doctors because they've got at the other end at person who is on there literally last leg .
O,And if the lung is damaged or beat up a little bit they say well I don't want to put this in somebody who's on their last leg in the intensive care ward .
O,So my myself my team we invented the technology that creates an artificial body .
O,It's under a dome and in this artificial body under a dome we can take a dead lung and not all the time but about 60 percent of the time we can restore that deadline to being just as good as a brand new living lung .
O,We've now gone ahead and transplanted those into 1600 people have walked out of the hospital with brand new lungs . Or otherwise been thrown away .
O,I just I just you know I think all of us were so lucky to be alive in this time of day when somebody can have this dream like I say you know truth and technology well like pounce into the ground both bureaucracy and it was a lot of both bureaucracy that led those lungs to be thrown away too .
O,Now we're saving them we're moving that technology out to hearts kidneys .
O,Our next frontier is thanks to the breakthroughs that have been done by Craig Venter and people like that in the human genome .
O,I said why can't we learn the pig genome as good as the human genome .
O,Because it turns out that the pigs organs are the same size and shape as human organs .
O,Some of you may have known that people needed a valve replacement for their heart and they got it from a pig .
O,Now what they got was not the actual pig's valve because what's happens is all the tissues in the cells are stripped off that valve but the shape of the valve is the same shape as the human valve .
O,So it works as a replacement for it .
O,So I said why can't we go ahead and decode the pig genome learn the pig genome as well as we know the human genome and then modify those parts of the pig genome that give rise to rejection when the organ is put in to the United States .
O,Americans need a hundred million pigs a year .
O,I'm one pig for every three people in America every year .
O,I said why if we could just go ahead and take like a million of those pigs a year we could cure every single person in America with heart disease lucked out having the latest word Oregon .
O,Exactly .
O,Everybody would have an organ on demand .
O,So that's my goal .
O,That's United Therapeutics goal as I am confident that we will accomplish it this decade .
O,You're extraordinary .
O,I have sort of deep respect and love for you .
O,Thank you .
O,No there's nobody like you on the planet but it doesn't end there .
O,You .
O,She also cares about pigs .
O,I'll tell them what your next level is that you're not working on under the X Prize you're working on .
O,So it's it's really not so much about the caring about the pigs .
O,Is that everything in biology is complicated and it's it's some rare machines and we're beautiful machines and it's why I said at the beginning that you know my ultimate vision is for people to spread into you know the moon Mars other space habitats .
O,It's amazing what evolution has ended up giving us .
O,But when you go ahead and you put something like a pig organ into a human being we can chisel off enough genes so it won't be rejected out of hand but no matter how many genes that we chisel off it's still going to be rejected in the same way that another human donated organ .
O,So you'll have to use immunosuppressants
O,now . That's OK .
O,I mean it's better to be alive and taking immunosuppressants than not being alive at all .
O,But it would be much better if you could get a replacement organ and not have to take immunosuppressants at all .
O,So I saw a clear technology pathway to do this which starts with using the technology of what's called induce a bull pluripotent stem cells .
O,We live in such an awesome time you guy amazing that just within the past 20 years we have discovered that you could take a cell from your body and you can turn it back in time to becoming a stem cell and then you can roll it back forward specifically to be a cardiac cell or an alveolar cell for the lung types of cells for different types of bodies .
O,So the idea is that we could 3D print the scaffold or the shape of an organ and then stream over this scaffold or this shape to induce a ball pluripotent stem cells the the cells of the person who's gonna end up receiving the organ .
O,Now some people need an organ like immediately they are in a car accident .
O,They're part of our armed forces fighting some players .
O,And for those people the Xeno organs the organs from the pigs they'll be great because I'll always be rolling off the assembly line they're always be available .
O,Most people who have end stage organ disease it's coming
O,they see it coming .
O,They've got a year two years three years to go
O,for . So for those individuals my commitment is during the twenty twenties we'll be able to say to them Look the bad news you got end stage renal disease and stage liver disease whatever it is that's the bad news .
O,The good news is that we have time to first of all take a cat stand to get the exact shape of your particular organ .
O,We'll take a biopsy skin sample .
O,We will expand we will turn your skin cells back into stem cells and then we will read differentiate them back into the particular type of organ that that individual needs .
O,We'll expand them .
O,We'll secularize the scaffold that we printed with your cells and within about six months time we will have for you an organ out of the bioreactor that matches your DNA .
O,It can replace your bad organ and you will not have to take any immunosuppressants or any other drugs for the rest of your life .
O,I know Dr. Peter out here at Wake Forest has been doing that with ears or ears and he also has bladders bladders .
O,How will the how is this different than what you do because he's not be able to progressed to that point yet .
O,What do you what's the angle you're looking at that's different out of curiosity .
O,So with the ears and the bladders you have more of a model they are type of situation .
O,And with the organ you've got a three dimensional dynamic machine so you need to have first a scaffold that operates in a bioreactor .
O,And we've been able to practice at our at our R.A. headquarters in Research Triangle Park North Carolina .
O,We are very fortunate to get the best and the brightest of those schools .
O,Wake Forest as you mentioned and many others .
O,So what we do there day in day out Tony is we decelerate some of those pig organs that we could have and then we reseller I said with human cells we have learned how to do it so well that we now produce 500 of those recent authorised organs every year right there and
O,what type of organs are you doing now .
O,We're doing lunch there .
O,So you're doing the ones you're actually growing the wings .
O,I mean we are growing the lungs and we are doing them in three dimensions way beyond where 20 Ayatollah hands .
O,What are you doing .
O,He's doing great work .
O,Oh he's doing fantastic work but he hasn't been able to do with organs for the complexity that we but we do .
O,We put those organs into backbones of which the FDA requires you to use as an animal model before you go ahead and put them into people .
O,We now have our hearts lasting years actually three years in a baboon kidneys over a year and about Boone .
O,So where are you in phase two or phase 1 trials where you
O,feel more of the backbone . It counts as preclinical or
O,preclinical That's right .
O,When I take a bath in phase three by that .
O,But how long after you set free .
O,It's preclinical .
O,So in the 20 20s we will be in the clinic with people walking out of the hospitals with those new organs .
O,Wow .
O,Because we have about that's incredible now is if there's not enough room look at this woman's consciousness right .
O,Her consciousness that is we're talking in the Vatican she's saying but I'm really troubled because we need to get these organs to people and you know to do that . You're flying helicopters around or jets around and it's polluting the moment I'm thinking I'm a good person because I'm planting five million trees every year to cover my carbon footprint .
O,She doesn't do that she wants to invent a new way to deliver these things we have to what you're doing with helicopters and also what you're doing with air taxis in China if you would .
O,Yeah .
O,So it's you know a major use of helicopters and planes is transplanting is transporting the organ transplants for example the last week we had four lung transplants that required eight Lear jets you know to move them all around within a 24 hour period .
O,So this business uses a lot of flying off of things around .
O,I am a ridiculous I probably am a number one fan of Tesla .
O,I have like 10 Teslas and a popsicle every single one from Roadster is all the way up through access .
O,And so you know as I'm a geek and then my here's how I'm playing with my car .
O,I'm and I'm a helicopter pilot and I I'm saying to myself you know I see the kilowatt power output of my bell 429 helicopter .
O,I see the power output of my Tesla Roadster model S .
O,This power should be able to fly this machine
O,again . A lot of people said no to me in fact Bell people said it couldn't be done .
O,I went to other helicopter companies they said it couldn't be done .
O,So that's the worst thing to say to Martine .
O,So I've put together a tiger team and almost everything we do in United Therapeutics is Tiger Teams
O,my absolute favorite quote is from Margaret Mead who says it only takes a small group of committed individuals to change the world .
O,Indeed nothing else ever does .
O,And that's what I see all of this all of the tribes and all of the groups .
O,These are small groups of committed individuals entrepreneurs or my tribe .
O,And so we put together this team .
O,And Tony in less than 12 months with less than 2 million dollars of funding we created the world's first electric helicopter giving up .
O,Ladies and gentlemen .
O,Guts .
O,I don't want to brag .
O,No .
O,Please .
O,I'm channeling my inner Nelson Mandela here .
O,Okay good .
O,Last month I got the Guinness Book of World Records for the world's longest flight in an electric helicopter .
O,We are now building a thousand electric helicopters and you will see these manufactured organs from United Therapeutics being delivered to hospitals by electric helicopters that will be able to subject to FAA approval .
O,We'll be able to be flown autonomously until we get the FAA approval .
O,They'll have a pilot flying them .
O,Wow .
O,But Tom I know I know full well that these helicopters can fly autonomously and land autonomously .
O,So we'll get the FAA approval for that .
O,And you're just going to see like a highway in the sky of Wings of Life you know helicopters flying manufactured organs saving people's lives coming back to the nest in North Carolina picking up more manufactured organs and flying on the hospitals .
O,This is no sci fi dream .
O,This is no you know wishy washy .
O,I mean it's not who I am .
O,I'm like you know if you can't come together .
O,If you can't make it or build it I'm not that interested in it .
O,And so these are things that are people real solid people are making and building right now .
O,Well you also are the largest aren't your largest shareholder meeting in China .
O,That's correct told people about bankruptcy you know it already exists .
O,That part exists right .
O,Yeah .
O,So hang on why she is a good friend of mine he's the CEO we hang .
O,Amazing story .
O,This guy he demonstrated is he hanging at the Consumer Electronics Show .
O,I showed it eye contact .
O,I saw it .
O,I contacted him I said let's meet that L.A. Expo .
O,We met over at the FBO at L.A. X. And he told me a story how he was the guy responsible for building the air traffic control system for the Beijing elect Olympics .
O,He's actually just a super computer geek .
O,And when the Beijing Olympics occurred they needed to upgrade their air traffic control system .
O,He did all that .
O,He learned how to fly a helicopter .
O,His best friend became his instructor and forcing the instructor crashed his helicopter and died .
O,And why she vowed that he was going to make a helicopter that would not crash .
O,That would have like multiple layers of failsafe guidance so it would like land itself .
O,It would sense and avoid obstacles around .
O,And he was wanted to make them all electric because he too saw no matter how much good we do in saving people's lives and bringing health to people if the whole planet is sick because of overheating and over polluting the whole planet then everybody is going to go down .
O,So I found myself to have a true kindred brother in why she and became the largest shareholder in e hang and
O,how far can they go and how many people could be how much weight can me all these days .
O,I know it's small versus I've gotten bigger .
O,Yeah .
O,It has gotten bigger .
O,So the original one was a one idea e Hank one eighty six and that could go about ten miles and hold two people .
O,Now they have a 2 1 6 8 2 1 6 that can go 50 miles and hold two people plus a hundred pounds of additional cargo .
O,And the project did he and I are working on together is the E hang with called the 4 1 6 that will hold two organ tenders and three organs and we'll fly autonomously for up to one hundred and fifty miles .
O,Is .
O,Your common denominator seems to be you make a decision to solve a big problem .
O,You had a phrase you used .
O,I remember when we were together at the Vatican I think you said something like the world's biggest problems are the biggest opportunities .
O,Tell us how you look at problems and tell us the process because it sounds like you just are totally self education .
O,You go full tilt it doesn't matter what anybody tells you .
O,You know the outcome you know there's an answer and you keep digging do you find it .
O,Tell us a little bit more about the process what you because you've done it over and over again here .
O,So I think the main common denominator Tony is really one of practicality .
O,I try to make an assessment as to whether or not a problem is practically solvable .
O,So first of all that I think that starts with physics and I'm a huge supporter of stem education the number one charity that I support is Dean in Caymans first robotics many first robotics folks here .
O,OK .
O,Thank you .
O,So I love first robotics because I'm a third of the participants are girls and women .
O,And that's something that you don't see in a lot of other STEM activities and it teaches everybody science technology and every year you have to actually build a robot and you have to actually do something with it .
O,So I started off with science and technology .
O,Is this problem within the laws of physics .
O,Then I take a look over at engineering
O,engineering is the application of math and physics to a material science that exists today .
O,And for example when I was growing up I really had a huge dream and a huge desire to build large habitats and space
O,physics math . It could be done .
O,I learned that from this guy Jared K. O'Neil physics professor at physics at Princeton .
O,Unfortunately the engineering was not there we didn't have the engineering capability .
O,So Dr. O'Neil invented a G.P.S. type of system and I became the CEO of his company and that got me into all of this satellite communication stuff .
O,So satellites for practical and with regard to the organ manufacturing I would love to be able to push a magic longevity button and slow down the rate of our cellular death as we were talking you know to stop I don't know how to do that now .
O,I don't think it violates any laws of physics I've read that great people like god like Feynman and these famous engineers as physicists say there's no physical reason why people can't live indefinitely but engineering wise we don't know how to do that right now is
O,replacing organs .
O,Yeah we know how to do that we're transplanting people right and left like get an old car you make it new but replacing the engine we've got 50 2s being flown by the grandchildren of the engineers that you know worked on on building the original be 50 52 just by replacing this parts .
O,So that's something that can be done .
O,So I ask myself is that practical from an engineering standpoint .
O,Then the third thing I do is I just chop it up into little pieces of that are . Each step is less than a year to get there
O,because I think as humans we've kind of from evolution we've evolved ourselves that we can work on things that have more than a day to day concern we can build a house we can take a trip to some number of weeks or months away to find a better place to live or better food .
O,But if you say to a human we're going to work on something for 20 years .
O,It's it's hard for us to do that .
O,We're not really wired that way .
O,So I take these practical projects and I I divide them into one year some projects and at the end of each year there has to be something awesome like we have to save a life .
O,We have to fly a helicopter .
O,We have to get a Guinness Book of World Record .
O,And and then I carefully stack these one year projects and at the end of ten years of these projects we have something that seems miraculous like satellite radio like a medicine to save 40000 people's lives like a manufacturing organ .
O,So you took it down you make it six flights .
O,So on the manufacturing of organs .
O,What's your one Euro twits .
O,Well the major ones right now for the next year
O,so that we have five different another .
O,Another secret sauce I would say is to be very careful when you're developing technology not to put all of your eggs in one basket .
O,Yes and the more challenging the technology the more careful you have to be about hedging your bets .
O,So I've got several different teams working under a model of what we call co-op petition
O,got several different teams each competing with each other to manufacture organs . Also co-op trading on the same deal and going about it different pathways .
O,So from one year from now we plan to ask FDA approval to transplant the first manufactured kidney into a person .
O,Wow .
O,So that would be basically the end of this year .
O,Wow .
O,And then the FDA will mull that over .
O,Yes .
O,Hopefully the government will be in business .
O,Yes .
O,If they're not we'll do it anyway .
O,Just say that .
O,But hopefully they'll be in business and 2020 is a reasonable timeframe to say that the first clinical manufactured organ would occur .
O,That's exciting .
O,Well it's over and again .
O,That's incredible .
O,It's really incredible .
O,There's also the part of you that just I hear how you've done this .
O,But I heard a step first that correct me if I'm wrong .
O,We've talked to her about the tyranny of how so many people try to figure out how they don't have the certainty that they're going to do it with your daughter for sure .
O,You just frickin decided .
O,Mean you went and found out .
O,You assumed it sounds like maybe I'm wrong that the physics can certainly support healing a body right .
O,You may not have the engineering yet .
O,How much better is just deciding this is so important having strong enough reasons that then you find the answers to those questions .
O,You know the beautiful thing about the human mind is it's like a quantum computer .
O,It can take in so much information and then just collapse into a solution .
O,Yes
O,right away .
O,And you look at the situation and you be open minded and you say well if something was wrong just between the heart and the lungs that's something that must be fixable .
O,Yes .
O,So what's the solution .
O,If if the energy output of my bell for twenty nine is a thousand kilowatt hours and the energy output of my Tesla Roadster is 1000 kilowatt hours I should be able to make the helicopter fly electric plane .
O,And if if a billion bodies can manufacture organs day in day out since time immemorial not to mention all the animals in the animal kingdom now why can't we do it too .
O,I've always said you know if you want new answers you ask new questions or you ask those questions would you ask them with certainty that they don't need to be answered .
O,Talk to you about your personal life .
O,It's okay because one of things I wanted to do here is represent men and women .
O,And you've had an experience where you were born a man and you had a different experience of what's inside .
O,You mean the translation and you're such a role model .
O,I wonder if you share with us .
O,When did you notice there was something different in how you navigate to what's your life like today .
O,There is a human mind like I said it's like a quantum computer and it's the thing about quantum stuff it's kind of spooky like reality's pop in and out of existence you never know what's going on .
O,So I had constantly in my mind that even though society had labeled me and categorize me as a boy and then a man I felt that in fact I was just as much if not more a girl and a woman .
O,Yes
O,but I was as any social being I'm supersensitive to not wanting to be laughed at not wanting to be bullied not wanting to lose all my friends .
O,So I just kept all of that bottled up
O,what stage of life did you realize that
O,this was it from teenage years on we're teenagers okay .
O,Yeah .
O,So I just kept all of that . You know just bottled up in me
O,and when I'm in a meeting or in a group and a club going out to a bar to a restaurant to a party and you know there's a bunch of guys hanging out like around the keg and whatnot and then there is you know some women over here I just found myself saying why am I here around the keg when you know I really want to be hanging out with the women .
O,But I was embarrassed and ashamed to do that because I knew that I would be humiliated if if I did that .
O,So I just kept it all bottled up in me and went all the way through the launch of serious completely presenting as a man
O,the only person who really knew any different was my best friend my soulmate wife spice whatever you want to call it . Bina
O,yes .
O,And shortly after we got married because I was I was scared .
O,I loved her so much .
O,I love her so much .
O,That I was scared .
